strain	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names	NCBI_refseq_accession	NCBI_taxon_identifier	organism	full_scientific_name	plasmids	genome_length	sequencing_platform	genome_status
OK10|DSM 16294|ATCC BAA-671|JCM 11897	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas autotrophica	131567|2|1224|68525|29547|213849|72293|202746|202747|563040	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Sulfurimonas|Sulfurimonas autotrophica|Sulfurimonas autotrophica DSM 16294	NC_014506.1	563040	Sulfurimonas autotrophica	Sulfurimonas autotrophica DSM 16294	0	2153198	ABI 3730|Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
7p75a|DSM 12885|ATCC 700841|JCM 10246	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Thermaerobacter	Thermaerobacter marianensis	131567|2|1783272|1239|186801|186802|538999|539000|73918|73919|644966	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Clostridia|Clostridiales|Clostridiales incertae sedis|Clostridiales Family XVII. Incertae Sedis|Thermaerobacter|Thermaerobacter marianensis|Thermaerobacter marianensis DSM 12885	NC_014831	644966	Thermaerobacter marianensis	Thermaerobacter marianensis DSM 12885	0	2844696	Illumina GAII|454 GS FLX Titanium	Complete
EJ3|DSM 15229|JCM 11827	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus gammatolerans	131567|2157|28890|183968|2258|2259|2263|187878|593117	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus|Thermococcus gammatolerans|Thermococcus gammatolerans EJ3	NC_012804.1	593117	Thermococcus gammatolerans	Thermococcus gammatolerans EJ3	missing	2045440	AB 3730 Genetic Analyzer	Complete
NS-C|DSM 5473|ATCC 51850|JCM 8560	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus litoralis	131567|2157|28890|183968|2258|2259|2263|2265|523849	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus|Thermococcus litoralis|Thermococcus litoralis DSM 5473	NC_022084.1	523849	Thermococcus litoralis	Thermococcus litoralis DSM 5473	missing	2215170	Illumina Genome Analyzer IIx|PacBio RS	Complete
ES1|DSM27261|KACC 17923	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus paralvinellae	131567|2157|28890|183968|2258|2259|2263|582419	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus|Thermococcus paralvinellae	NZ_CP006965.1	582419	Thermococcus	Thermococcus sp. ES1	0	1957740	454 GS FLX Titanium|Illumina HiSeq 2000	Complete
CIR29812|DSM 15286|JCM 11887|CIR29812	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfatator	Thermodesulfatator indicus	131567|2|200940|67799|188710|188711|241192|171695|667014	cellular organisms|Bacteria|Thermodesulfobacteria|Thermodesulfobacteria|Thermodesulfobacteriales|Thermodesulfobacteriaceae|Thermodesulfatator|Thermodesulfatator indicus|Thermodesulfatator indicus DSM 15286	NC_015681.1	667014	Thermodesulfatator indicus	Thermodesulfatator indicus DSM 15286	0	2322224	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
MSB8|ATCC 43589|MSB8|DSM 3109|JCM 10099	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima	131567|2|200918|188708|2419|188709|2335|2336|243274	cellular organisms|Bacteria|Thermotogae|Thermotogae|Thermotogales|Thermotogaceae|Thermotoga|Thermotoga maritima|Thermotoga maritima MSB8	NC_023151.1	243274	Thermotoga maritima	Thermotoga maritima MSB8	missing	1869612	Illumina Genome Analyzer IIx|454 GS	Complete
NS-E|ATCC 49049|DSM 4359|NBRC 107923	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga neapolitana	131567|2|200918|188708|2419|188709|2335|2337|309803	cellular organisms|Bacteria|Thermotogae|Thermotogae|Thermotogales|Thermotogaceae|Thermotoga|Thermotoga neapolitana|Thermotoga neapolitana DSM 4359	NC_011978.1	309803	Thermotoga neapolitana	Thermotoga neapolitana DSM 4359	0	1884562	missing	Complete
RQ2	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga sp. RQ2	131567|2|200918|188708|2419|188709|2335|126740	cellular organisms|Bacteria|Thermotogae|Thermotogae|Thermotogales|Thermotogaceae|Thermotoga|Thermotoga sp. RQ2	NC_010483.1	126740	Thermotoga	Thermotoga sp. RQ2	0	1877693	Sanger	Complete
HB-1|DSM15698|JCM12110	Bacteria	Aquificae	Aquificae	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio	Thermovibrio ammonificans	131567|2|200783|187857|1485951|558314|171868|228745|648996	cellular organisms|Bacteria|Aquificae|Aquificae|Desulfurobacteriales|Desulfurobacteriaceae|Thermovibrio|Thermovibrio ammonificans|Thermovibrio ammonificans HB-1	NC_014926.1|NC_014917.1	648996	Thermovibrio ammonificans	Hermovibrio ammonificans HB-1	1	1759526	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
8321|ATCC 700959	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thioflavicoccus	Thioflavicoccus mobilis	131567|2|1224|1236|135613|1046|156885|80679|765912	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Thioflavicoccus|Thioflavicoccus mobilis|Thioflavicoccus mobilis 8321	NC_019940.1|NC_019941.1	765912	Thioflavicoccus mobilis	Thioflavicoccus mobilis 8321	1	4137521	454 GS|Illumina Genome Analyzer II	Complete
AB-18-032|DSM 45365|JCM 31040|NBRC 109089|NRRL B-24793	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Verrucosispora	Verrucosispora maris	131567|2|1783272|201174|1760|85008|28056|84593|1003110|263358	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Verrucosispora|Verrucosispora maris|Verrucosispora maris AB-18-032	NC_015434.1|NC_015409.1	263358	Verrucosispora maris	Verrucosispora maris AB-18-032	1	6732271	454 GS FLX|Illumina Genome Analyzer|AB 3730 Genetic Analyzer	Complete
SFn1	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio nigripulchritudo	131567|2|1224|1236|135623|641|662|28173	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio nigripulchritudo	NC_022543.1|NC_022528.1	28173	Vibrio nigripulchritudo	Vibrio nigripulchritudo str. SFn1	0	6322155	Illumina HiSeq 2000|454|Sanger	Complete
BB22OP|LM5312	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus	131567|2|1224|1236|135623|641|662|717610|670|1211705	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio harveyi group|Vibrio parahaemolyticus|Vibrio parahaemolyticus BB22OP	NC_019971.1|NC_019955.1	1211705	Vibrio parahaemolyticus	Vibrio parahaemolyticus BB22OP	0	5103524	454 GS FLX Titanium|AB 3730 Genetic Analyzer	Complete
UCM-V493	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus	131567|2|1224|1236|135623|641|662|717610|670|1429044	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio harveyi group|Vibrio parahaemolyticus|Vibrio parahaemolyticus UCM-V493	NZ_CP007005.1|NZ_CP007006.1|NZ_CP007004.1	1429044	Vibrio parahaemolyticus	Vibrio parahaemolyticus UCM-V493	1	5232572	PacBio RS II|Illumina MiSeq	Complete
EJY3	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio sp. EJY3	131567|2|1224|1236|135623|641|662|1116375	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio sp. EJY3	NC_016613.1|NC_016614.1	1116375	Vibrio	Vibrio sp. EJY3	0	5452646	454 GS FLX|Illumina Genome Analyzer II|AB SOLiD System|AB 3730 Genetic Analyzer	Complete
PG-2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	Winogradskyella sp. PG-2	131567|2|1783270|68336|976|117743|200644|49546|286104|754409	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Winogradskyella|Winogradskyella sp. PG-2	NZ_AP014583.1	754409	Winogradskyella	Winogradskyella sp. PG-2	0	3811479	454 GS FLX	Complete
SM-A87|DSM 18752|CCTCC AB 206139	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zunongwangia	Zunongwangia profunda	131567|2|1783270|68336|976|117743|200644|49546|417127|398743|655815	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Zunongwangia|Zunongwangia profunda|Zunongwangia profunda SM-A87	NC_014041.1	655815	Zunongwangia profunda	Zunongwangia profunda SM-A87	0	5128187	454 GS FLX|AB 3730 Genetic Analyzer	Complete
KA081020-065	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Tistrella	Tistrella mobilis	131567|2|1224|28211|204441|41295|171436|171437|1110502	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Tistrella|Tistrella mobilis|Tistrella mobilis KA081020-065	NC_017956.1|NC_017959.1|NC_017958.1|NC_017966.1|NC_017957.1	1110502	Tistrella mobilis	Tistrella mobilis KA081020-065	4	6513401	454 GS FLX|Illumina	Complete
W3-18-1	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella sp. W3-18-1	131567|2|1224|1236|135622|267890|22|351745	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella sp. W3-18-1	NC_008750.1	351745	Shewanella sp.	Shewanella sp. W3-18-1	0	4708380	Sanger	Complete
ATCC BAA-429|MIT 00-7128	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cetorum	131567|2|1224|68525|29547|213849|72293|209|138563|182217	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter cetorum|Helicobacter cetorum MIT 00-7128	NC_017737.1|NC_017738.1	182217	Helicobacter cetorum	Helicobacter cetorum MIT 00-7128	1	1960111	454 GS FLX Titanium	Complete
MIT99-5656|ATCC BAA-540)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cetorum	131567|2|1224|68525|29547|213849|72293|209|138563|1163745	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter cetorum|Helicobacter cetorum MIT 99-5656	NC_017735.1|NC_017736.1	1163745	Helicobacter cetorum	Helicobacter cetorum MIT 99-5656	1	1847790	454 GS FLX Titanium	Complete
Big Creek 74	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Yersinia ruckeri	131567|2|1224|1236|91347|543|629|29486	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Yersinia|Yersinia ruckeri	NZ_CP011078.1	29486	Yersinia ruckeri	Yersinia ruckeri strain Big Creek 74	0	3699725	PacBio RS|Sanger	Complete
LADL--07-285A	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella noatunensis	131567|2|1224|1236|72273|34064|262|657445|299583|1356861	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Francisellaceae|Francisella|Francisella noatunensis|Francisella noatunensis subsp. orientalis|Francisella noatunensis subsp. orientalis LADL--07-285A	NC_023029.1	1356861	Francisella noatunensis subsp. orientalis	Francisella noatunensis subsp. orientalis LADL--07-285A	0	1858987	454 GS|Sanger	Complete
A449	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida	131567|2|1224|1236|135624|84642|642|645|29491|382245	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas|Aeromonas salmonicida|Aeromonas salmonicida subsp. salmonicida|Aeromonas salmonicida subsp. salmonicida A449	NC_009348.1|NC_004923.1|NC_004925.1|NC_004924.1|NC_009349.1|NC_009350	382245	Aeromonas salmonicida subsp. salmonicida	Aeromonas salmonicida subsp. salmonicida A449	5	5040536	LI-COR 4200|AB MegaBace 1000	Complete
LFI1238	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio salmonicida	131567|2|1224|1236|135623|641|511678|40269|316275	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Aliivibrio|Aliivibrio salmonicida|Aliivibrio salmonicida LFI1238	NC_011312|NC_011313|NC_011314|NC_011315|NC_011316|NC_011311	316275	Aliivibrio salmonicida	Aliivibrio salmonicida LFI1238	4	4655660	AB 3730 Genetic Analyzer	Complete
T6c|ATCC BAA-1087	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas atlantica	131567|2|1224|1236|135622|267888|53246|288|342610	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas atlantica|Pseudoalteromonas atlantica T6c	NC_008228.1	342610	Pseudoalteromonas atlantica	Pseudoalteromonas atlantica T6c	0	5187005	Sanger	Complete
HZ22|CGMCC1.11025|JCM 18496	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Algibacter	Algibacter alginolytica	131567|2|1783270|68336|976|117743|200644|49546|261827|1736674	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Algibacter|Algibacter sp. HZ22	NZ_CP012898.1	1736674	Algibacter sp.	Algibacter sp. HZ22	missing	3994770	Illumina HiSeq 2000	Complete
KCTC 42284|CGMCC 1.14936|MCCC 1K00261	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Wenzhouxiangellaceae	Wenzhouxiangella	Wenzhouxiangella marina	131567|2|1224|1236|135613|1676141|1676142|1579979	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales|Wenzhouxiangellaceae|Wenzhouxiangella|Wenzhouxiangella marina	NZ_CP012154.1	1579979	Wenzhouxiangella marina	Wenzhouxiangella marina strain KCTC 42284	missing	3675202	PacBio RS II	Complete
MED134	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Dokdonia	Dokdonia sp. MED134	131567|2|1783270|68336|976|117743|200644|49546|326319|313590	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Dokdonia|Dokdonia sp. MED134	NZ_CP009301.1	313590	Dokdonia	Dokdonia sp. MED134	missing	3302548	Sanger	Complete
KORDI-100	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. KORDI-100	131567|2|1783272|1117|1301283|1118|1129|1280380	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Oscillatoriophycideae|Chroococcales|Synechococcus|Synechococcus sp. KORDI-100	NZ_CP006269.1	1280380	Synechococcus sp.	Synechococcus sp. KORDI-100	missing	2789000	454 GS FLX Titanium|Sanger	Complete
AM4	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. AM4	131567|2157|28890|183968|2258|2259|2263|246969	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus|Thermococcus sp. AM4	NC_016051.1	246969	Thermococcus sp.	Thermococcus sp. AM4	missing	2086430	Sanger	Complete
KCTC 12363	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Cyclobacterium	Cyclobacterium amurskyense	131567|2|1783270|68336|976|768503|768507|563798|68288|320787	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Cyclobacterium|Cyclobacterium amurskyense	NZ_CP012040.1	320787	Cyclobacterium amurskyense	Cyclobacterium amurskyense strain KCTC 12363	0	6158829	PacBio RS II	Complete
KORDI-49	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. KORDI-49	131567|2|1783272|1117|1301283|1118|1129|585423	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Oscillatoriophycideae|Chroococcales|Synechococcus|Synechococcus sp. KORDI-49	NZ_CP006270.1	585423	Synechococcus sp.	Synechococcus sp. KORDI-49	missing	2585810	454 GS FLX Titanium|Sanger	Complete
KORDI-52	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. KORDI-52	131567|2|1783272|1117|1301283|1118|1129|585425	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Oscillatoriophycideae|Chroococcales|Synechococcus|Synechococcus sp. KORDI-52	NZ_CP006271.1	585425	Synechococcus sp.	Synechococcus sp. KORDI 52	missing	2572070	454 GS FLX Titanium|Sanger	Complete
YCS-5|KCTC23420|CCUG 60526	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Kangiella	Kangiella geojedonensis	131567|2|1224|1236|135619|224372|261963|914150	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Kangiella|Kangiella geojedonensis	NZ_CP010975.1	914150	Kangiella geojedonensis	Kangiella geojedonensis strain YCS-5	missing	2495242	PacBio RS II	Complete
MSW-14|KCTC 22370|DSM 21428	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter marensis	131567|2|1224|28211|204457|335929|361177|543877	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Altererythrobacter|Altererythrobacter marensis	NZ_CP011805.1	543877	Altererythrobacter marensis	Altererythrobacter marensis strain KCTC 22370	missing	2885033	PacBio RS II	Complete
HBSQ001|DSM 16790	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi	131567|2157|28890|183963|1644055|1644056|293431|293091|362976	cellular organisms|Archaea|Euryarchaeota|Halobacteria|Haloferacales|Haloferacaceae|Haloquadratum|Haloquadratum walsbyi|Haloquadratum walsbyi DSM 16790	NC_008212.1|NC_008213.1	362976	Haloquadratum walsbyi	Haloquadratum walsbyi DSM 16790	1	3179360	Sanger	Complete
CC-SAMT-1|BCRC 80315|JCM 17682	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Siansivirga	Siansivirga zeaxanthinifaciens	131567|2|1783270|68336|976|117743|200644|49546|1204360|762954|1454006	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Siansivirga|Siansivirga zeaxanthinifaciens|Siansivirga zeaxanthinifaciens CC-SAMT-1	NZ_CP007202.1	1454006	Siansivirga zeaxanthinifaciens	Siansivirga zeaxanthinifaciens CC-SAMT-1	missing	3303986	Illumina|PacBio RS	Complete
CC-HSB-11|KCTC22339|BCRC 17850T	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Muricauda	Muricauda lutaonensis	131567|2|1783270|68336|976|117743|200644|49546|111500|516051	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Muricauda|Muricauda lutaonensis	NZ_CP011071.1	516051	Muricauda lutaonensis	Muricauda lutaonensis strain CC-HSB-11	missing	3274259	PacBio RS II	Complete
C6|ATCC BAA-1332|OCM363	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis	131567|2157|28890|183939|2182|2183|2184|39152|444158	cellular organisms|Archaea|Euryarchaeota|Methanococci|Methanococcales|Methanococcaceae|Methanococcus|Methanococcus maripaludis|Methanococcus maripaludis C6	NC_009975.1	444158	Methanococcus maripaludis	Methanococcus maripaludis C6	missing	1744190	missing	Complete
AY7486TD	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum dicentrarchi	131567|2|1783270|68336|976|117743|200644|49546|104267|669041	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Tenacibaculum|Tenacibaculum dicentrarchi	NZ_CP013671.1	669041	Tenacibaculum dicentrarchi	Tenacibaculum dicentrarchi strain AY7486TD	missing	2918253	PacBio RS|Illumina	Complete
