BINID	Tool	genome_id	length_gs	precision_bp	precision_seq	rank	recall_bp	recall_seq	seq_counts_gs	seq_length_mean	total_length	total_seq_counts	tp_length	tp_seq_counts	sample_id
Otu2468.0	Gold standard	Otu2468.0	4630256	1.0	1.0	NA	1.0	1.0	1068	4335.445692883895	4630256	1068	4630256	1068	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu810.0	Gold standard	Otu810.0	3513753	1.0	1.0	NA	1.0	1.0	159	22099.075471698114	3513753	159	3513753	159	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu571.0	Gold standard	Otu571.0	4728463	1.0	1.0	NA	1.0	1.0	424	11152.03537735849	4728463	424	4728463	424	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu931	Gold standard	Otu931	2083507	1.0	1.0	NA	1.0	1.0	327	6371.581039755351	2083507	327	2083507	327	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2066	Gold standard	Otu2066	2048965	1.0	1.0	NA	1.0	1.0	913	2244.21139101862	2048965	913	2048965	913	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1108.1	Gold standard	Otu1108.1	1286567	1.0	1.0	NA	1.0	1.0	368	3496.1059782608695	1286567	368	1286567	368	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1267.0	Gold standard	Otu1267.0	3827193	1.0	1.0	NA	1.0	1.0	810	4724.92962962963	3827193	810	3827193	810	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1665	Gold standard	Otu1665	1903922	1.0	1.0	NA	1.0	1.0	2127	895.1208274565115	1903922	2127	1903922	2127	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu683.0	Gold standard	Otu683.0	5521362	1.0	1.0	NA	1.0	1.0	29	190391.7931034483	5521362	29	5521362	29	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu445	Gold standard	Otu445	2038432	1.0	1.0	NA	1.0	1.0	161	12661.068322981366	2038432	161	2038432	161	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1358	Gold standard	Otu1358	8928984	1.0	1.0	NA	1.0	1.0	1522	5866.612352168199	8928984	1522	8928984	1522	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2016.0	Gold standard	Otu2016.0	3400410	1.0	1.0	NA	1.0	1.0	762	4462.48031496063	3400410	762	3400410	762	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu169.0	Gold standard	Otu169.0	4784456	1.0	1.0	NA	1.0	1.0	1653	2894.4077434966725	4784456	1653	4784456	1653	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu570.0	Gold standard	Otu570.0	4380784	1.0	1.0	NA	1.0	1.0	697	6285.199426111908	4380784	697	4380784	697	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2073	Gold standard	Otu2073	1619680	1.0	1.0	NA	1.0	1.0	799	2027.133917396746	1619680	799	1619680	799	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1918	Gold standard	Otu1918	2383079	1.0	1.0	NA	1.0	1.0	1116	2135.375448028674	2383079	1116	2383079	1116	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2352	Gold standard	Otu2352	1577430	1.0	1.0	NA	1.0	1.0	1740	906.5689655172414	1577430	1740	1577430	1740	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu719.0	Gold standard	Otu719.0	4385915	1.0	1.0	NA	1.0	1.0	435	10082.563218390804	4385915	435	4385915	435	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1247	Gold standard	Otu1247	1572945	1.0	1.0	NA	1.0	1.0	3487	451.0883280757098	1572945	3487	1572945	3487	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu520.0	Gold standard	Otu520.0	3937546	1.0	1.0	NA	1.0	1.0	629	6260.009538950715	3937546	629	3937546	629	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu909	Gold standard	Otu909	2843766	1.0	1.0	NA	1.0	1.0	738	3853.3414634146343	2843766	738	2843766	738	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1468.0	Gold standard	Otu1468.0	4020842	1.0	1.0	NA	1.0	1.0	2436	1650.5919540229886	4020842	2436	4020842	2436	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu873.1	Gold standard	Otu873.1	3229632	1.0	1.0	NA	1.0	1.0	1851	1744.8038897893032	3229632	1851	3229632	1851	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1381	Gold standard	Otu1381	2070653	1.0	1.0	NA	1.0	1.0	317	6532.028391167192	2070653	317	2070653	317	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1656	Gold standard	Otu1656	1753400	1.0	1.0	NA	1.0	1.0	306	5730.065359477124	1753400	306	1753400	306	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1580	Gold standard	Otu1580	1846692	1.0	1.0	NA	1.0	1.0	1111	1662.1890189018902	1846692	1111	1846692	1111	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1376	Gold standard	Otu1376	1510515	1.0	1.0	NA	1.0	1.0	2377	635.4711821623896	1510515	2377	1510515	2377	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu726	Gold standard	Otu726	5359107	1.0	1.0	NA	1.0	1.0	416	12882.46875	5359107	416	5359107	416	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1147	Gold standard	Otu1147	5118959	1.0	1.0	NA	1.0	1.0	240	21328.995833333334	5118959	240	5118959	240	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1544	Gold standard	Otu1544	4204669	1.0	1.0	NA	1.0	1.0	179	23489.77094972067	4204669	179	4204669	179	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2128	Gold standard	Otu2128	1723167	1.0	1.0	NA	1.0	1.0	334	5159.182634730539	1723167	334	1723167	334	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1221	Gold standard	Otu1221	2546028	1.0	1.0	NA	1.0	1.0	675	3771.8933333333334	2546028	675	2546028	675	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu222.0	Gold standard	Otu222.0	6728401	1.0	1.0	NA	1.0	1.0	124	54261.29838709677	6728401	124	6728401	124	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2156	Gold standard	Otu2156	1636469	1.0	1.0	NA	1.0	1.0	387	4228.602067183462	1636469	387	1636469	387	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1153	Gold standard	Otu1153	1323484	1.0	1.0	NA	1.0	1.0	484	2734.471074380165	1323484	484	1323484	484	marmgCAMI2_short_read_pooled_gold_standard_assembly
RNODE_207_length_2195_cov_3.75886	Gold standard	RNODE_207_length_2195_cov_3.75886	21459	1.0	1.0	NA	1.0	1.0	10	2145.9	21459	10	21459	10	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu881.0	Gold standard	Otu881.0	1509476	1.0	1.0	NA	1.0	1.0	752	2007.281914893617	1509476	752	1509476	752	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu806.0	Gold standard	Otu806.0	4877299	1.0	1.0	NA	1.0	1.0	1479	3297.7004732927653	4877299	1479	4877299	1479	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu447.1	Gold standard	Otu447.1	4069862	1.0	1.0	NA	1.0	1.0	378	10766.830687830688	4069862	378	4069862	378	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu722	Gold standard	Otu722	4739605	1.0	1.0	NA	1.0	1.0	410	11560.012195121952	4739605	410	4739605	410	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu987	Gold standard	Otu987	9329432	1.0	1.0	NA	1.0	1.0	523	17838.302103250477	9329432	523	9329432	523	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu704	Gold standard	Otu704	1702411	1.0	1.0	NA	1.0	1.0	223	7634.130044843049	1702411	223	1702411	223	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1240.0	Gold standard	Otu1240.0	4668093	1.0	1.0	NA	1.0	1.0	372	12548.637096774193	4668093	372	4668093	372	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu2479	Gold standard	Otu2479	3031905	1.0	1.0	NA	1.0	1.0	553	5482.649186256781	3031905	553	3031905	553	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu972	Gold standard	Otu972	2798717	1.0	1.0	NA	1.0	1.0	830	3371.9481927710845	2798717	830	2798717	830	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu297.0	Gold standard	Otu297.0	5443942	1.0	1.0	NA	1.0	1.0	333	16348.174174174173	5443942	333	5443942	333	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1139	Gold standard	Otu1139	1997075	1.0	1.0	NA	1.0	1.0	372	5368.481182795699	1997075	372	1997075	372	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu954	Gold standard	Otu954	1850526	1.0	1.0	NA	1.0	1.0	512	3614.30859375	1850526	512	1850526	512	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1187	Gold standard	Otu1187	6198470	1.0	1.0	NA	1.0	1.0	523	11851.759082217974	6198470	523	6198470	523	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1676.0	Gold standard	Otu1676.0	2513454	1.0	1.0	NA	1.0	1.0	467	5382.128479657387	2513454	467	2513454	467	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1657	Gold standard	Otu1657	756993	1.0	1.0	NA	1.0	1.0	1012	748.0167984189724	756993	1012	756993	1012	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1079.0	Gold standard	Otu1079.0	4149727	1.0	1.0	NA	1.0	1.0	271	15312.645756457565	4149727	271	4149727	271	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1093	Gold standard	Otu1093	2764592	1.0	1.0	NA	1.0	1.0	429	6444.270396270396	2764592	429	2764592	429	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1119.0	Gold standard	Otu1119.0	2516017	1.0	1.0	NA	1.0	1.0	230	10939.204347826088	2516017	230	2516017	230	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu1200.0	Gold standard	Otu1200.0	5099970	1.0	1.0	NA	1.0	1.0	16	318748.125	5099970	16	5099970	16	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu61.0	Gold standard	Otu61.0	4052363	1.0	1.0	NA	1.0	1.0	2	2026181.5	4052363	2	4052363	2	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu867	Gold standard	Otu867	3433181	1.0	1.0	NA	1.0	1.0	6984	491.57803550973654	3433181	6984	3433181	6984	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu35.0	Gold standard	Otu35.0	5051673	1.0	1.0	NA	1.0	1.0	1	5051673.0	5051673	1	5051673	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu293.0	Gold standard	Otu293.0	2560157	1.0	1.0	NA	1.0	1.0	2	1280078.5	2560157	2	2560157	2	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu215.0	Gold standard	Otu215.0	3074116	1.0	1.0	NA	1.0	1.0	4	768529.0	3074116	4	3074116	4	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu122.0	Gold standard	Otu122.0	3555091	1.0	1.0	NA	1.0	1.0	1	3555091.0	3555091	1	3555091	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu93	Gold standard	Otu93	3251347	1.0	1.0	NA	1.0	1.0	1	3251347.0	3251347	1	3251347	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu75.0	Gold standard	Otu75.0	4279149	1.0	1.0	NA	1.0	1.0	1	4279149.0	4279149	1	4279149	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu365.0	Gold standard	Otu365.0	7215228	1.0	1.0	NA	1.0	1.0	1	7215228.0	7215228	1	7215228	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu222.1	Gold standard	Otu222.1	5183322	1.0	1.0	NA	1.0	1.0	1	5183322.0	5183322	1	5183322	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu160	Gold standard	Otu160	1859369	1.0	1.0	NA	1.0	1.0	1	1859369.0	1859369	1	1859369	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu250	Gold standard	Otu250	4050905	1.0	1.0	NA	1.0	1.0	2	2025452.5	4050905	2	4050905	2	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu90.0	Gold standard	Otu90.0	3705011	1.0	1.0	NA	1.0	1.0	1	3705011.0	3705011	1	3705011	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu846.0	Gold standard	Otu846.0	3858490	1.0	1.0	NA	1.0	1.0	3	1286163.3333333333	3858490	3	3858490	3	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu40.0	Gold standard	Otu40.0	1481183	1.0	1.0	NA	1.0	1.0	1	1481183.0	1481183	1	1481183	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu176.0	Gold standard	Otu176.0	3052367	1.0	1.0	NA	1.0	1.0	2	1526183.5	3052367	2	3052367	2	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu69.0	Gold standard	Otu69.0	4719539	1.0	1.0	NA	1.0	1.0	1	4719539.0	4719539	1	4719539	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu249.0	Gold standard	Otu249.0	4516467	1.0	1.0	NA	1.0	1.0	2	2258233.5	4516467	2	4516467	2	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu304.0	Gold standard	Otu304.0	4023492	1.0	1.0	NA	1.0	1.0	2	2011746.0	4023492	2	4023492	2	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu218	Gold standard	Otu218	1878554	1.0	1.0	NA	1.0	1.0	2	939277.0	1878554	2	1878554	2	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu241.0	Gold standard	Otu241.0	4875390	1.0	1.0	NA	1.0	1.0	2	2437695.0	4875390	2	4875390	2	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu37.0	Gold standard	Otu37.0	7327599	1.0	1.0	NA	1.0	1.0	4	1831899.75	7327599	4	7327599	4	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu110.0	Gold standard	Otu110.0	2884284	1.0	1.0	NA	1.0	1.0	1	2884284.0	2884284	1	2884284	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu450.0	Gold standard	Otu450.0	2986827	1.0	1.0	NA	1.0	1.0	1	2986827.0	2986827	1	2986827	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
Otu312.0	Gold standard	Otu312.0	4560497	1.0	1.0	NA	1.0	1.0	1	4560497.0	4560497	1	4560497	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
