BINID	total_length	seq_length_mean	total_seq_counts	genome_id	tp_length	tp_seq_counts	precision_bp	precision_seq	length_gs	seq_counts_gs	recall_bp	recall_seq	rank	Tool	sample_id
bin.159	4813691.0	145869.42424242425	33.0	MIKI-NS14	4813691.0	33.0	1.0	1.0	5248865.0	43.0	0.9170917903203836	0.7674418604651163	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.169	827257.0	20177.0	41.0	MIKI-NS20	827257.0	41.0	1.0	1.0	5362682.0	208.0	0.15426180407490134	0.1971153846153846	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.185	17251.0	3450.2	5.0	SP108_S87	17251.0	5.0	1.0	1.0	1934373.0	517.0	0.008918135230382145	0.009671179883945842	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.218	3055.0	3055.0	1.0	SP108_S87	3055.0	1.0	1.0	1.0	1934373.0	517.0	0.0015793231191709148	0.0019342359767891683	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.228	1296399.0	162049.875	8.0	MIKI-NS09	1296399.0	8.0	1.0	1.0	2039640.0	22.0	0.6356018709183974	0.36363636363636365	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.235	363086.0	363086.0	1.0	MIKI-NS14	363086.0	1.0	1.0	1.0	5248865.0	43.0	0.06917419289694057	0.023255813953488372	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.243	12121.0	3030.25	4.0	SP108_S87	12121.0	4.0	1.0	1.0	1934373.0	517.0	0.0062661131022817215	0.007736943907156673	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.247	5669.0	5669.0	1.0	SP108_S87	5669.0	1.0	1.0	1.0	1934373.0	517.0	0.002930665388733197	0.0019342359767891683	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.273	14076.0	14076.0	1.0	SP108_S87	14076.0	1.0	1.0	1.0	1934373.0	517.0	0.007276776505875548	0.0019342359767891683	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.282	3971288.0	61096.73846153846	65.0	MIKI-NS03	3971288.0	65.0	1.0	1.0	4487888.0	151.0	0.8848901755124013	0.4304635761589404	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.308	7940.0	7940.0	1.0	SP108_S87	7940.0	1.0	1.0	1.0	1934373.0	517.0	0.004104689219710986	0.0019342359767891683	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.315	5971.0	5971.0	1.0	SP108_S87	5971.0	1.0	1.0	1.0	1934373.0	517.0	0.0030867883288279974	0.0019342359767891683	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.330	15625.0	7812.5	2.0	SP108_S87	15625.0	2.0	1.0	1.0	1934373.0	517.0	0.008077552778083648	0.0038684719535783366	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.343	730256.0	146051.2	5.0	SP21_S92	730256.0	5.0	1.0	1.0	1689680.0	13.0	0.432185976042801	0.38461538461538464	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.344	6515772.0	110436.81355932204	59.0	MIKI-NS15	6515772.0	59.0	1.0	1.0	6804298.0	96.0	0.9575965073840094	0.6145833333333334	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.350	4613077.0	96105.77083333333	48.0	spades_And8457_S3_L001	4613077.0	48.0	1.0	1.0	4927240.0	82.0	0.936239558048725	0.5853658536585366	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.356	7056.0	7056.0	1.0	SP108_S87	7056.0	1.0	1.0	1.0	1934373.0	517.0	0.003647693593738126	0.0019342359767891683	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.369	1982088.0	28725.91304347826	69.0	MIKI-NS10	1982088.0	69.0	1.0	1.0	2092134.0	100.0	0.9474001187304446	0.69	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.373	8011.0	8011.0	1.0	SP108_S87	8011.0	1.0	1.0	1.0	1934373.0	517.0	0.004141393619534598	0.0019342359767891683	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.390	2181810.0	36363.5	60.0	MIKI-NS12	2181810.0	60.0	1.0	1.0	2251851.0	72.0	0.9688962546811489	0.8333333333333334	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.392	899099.0	299699.6666666667	3.0	SP21_S92	899099.0	3.0	1.0	1.0	1689680.0	13.0	0.5321119975379953	0.23076923076923078	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.412	6837044.0	359844.4210526316	19.0	MIKI-NS13	6837044.0	19.0	1.0	1.0	7206672.0	26.0	0.9487103062273404	0.7307692307692307	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.413	3713.0	3713.0	1.0	SP108_S87	3713.0	1.0	1.0	1.0	1934373.0	517.0	0.0019194850217615733	0.0019342359767891683	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.414	2515763.0	359394.71428571426	7.0	MIKI-NS08	2515763.0	7.0	1.0	1.0	2548574.0	10.0	0.987125741689274	0.7	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.579	4932789.0	352342.0714285714	14.0	spades_ESBL6643_S3_L001	4932789.0	14.0	1.0	1.0	5120124.0	22.0	0.9634120189276666	0.6363636363636364	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.93	316427.0	158213.5	2.0	MIKI-NS13	316427.0	2.0	1.0	1.0	7206672.0	26.0	0.04390750682145656	0.07692307692307693	NA	MetaBAT 2.13-33 (A2)	strmgCAMI2_short_read_pooled_gold_standard_assembly
106	6609918.0	93097.43661971831	71.0	MIKI-NS15	6609918.0	71.0	1.0	1.0	6804298.0	96.0	0.9714327620571586	0.7395833333333334	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
111	1681214.0	168121.4	10.0	SP21_S92	1681214.0	10.0	1.0	1.0	1689680.0	13.0	0.9949895838265234	0.7692307692307693	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
12	3055.0	3055.0	1.0	SP108_S87	3055.0	1.0	1.0	1.0	1934373.0	517.0	0.0015793231191709148	0.0019342359767891683	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
133	7153471.0	340641.4761904762	21.0	MIKI-NS13	7153471.0	21.0	1.0	1.0	7206672.0	26.0	0.992617813048797	0.8076923076923077	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
141	1940541.0	102133.73684210527	19.0	MIKI-NS06	1940541.0	19.0	1.0	1.0	1964616.0	31.0	0.9877456968690065	0.6129032258064516	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
148	5113174.0	300774.9411764706	17.0	spades_ESBL6643_S3_L001	5113174.0	17.0	1.0	1.0	5120124.0	22.0	0.9986426109992649	0.7727272727272727	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
149	1957561.0	26453.527027027027	74.0	MIKI-NS10	1957561.0	74.0	1.0	1.0	2092134.0	100.0	0.9356766822775214	0.74	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
155	4239756.0	49299.48837209302	86.0	MIKI-NS03	4239756.0	86.0	1.0	1.0	4487888.0	151.0	0.944710741444528	0.5695364238410596	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
160	2205573.0	35009.09523809524	63.0	MIKI-NS12	2205573.0	63.0	1.0	1.0	2251851.0	72.0	0.979448906699422	0.875	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
162	4018020.0	43204.51612903226	93.0	MIKI-NS20	4018020.0	93.0	1.0	1.0	5362682.0	208.0	0.7492556895971083	0.44711538461538464	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
163	19760.0	19760.0	1.0	spades_And8457_S3_L001	19760.0	1.0	1.0	1.0	4927240.0	82.0	0.0040103587403901575	0.012195121951219513	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
164	2958746.0	82187.38888888889	36.0	MIKI-NS02	2958746.0	36.0	1.0	1.0	2999760.0	43.0	0.9863275728724965	0.8372093023255814	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
167	949724.0	52762.444444444445	18.0	MIKI-NS20	949724.0	18.0	1.0	1.0	5362682.0	208.0	0.17709869800223096	0.08653846153846154	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
171	4605999.0	92119.98	50.0	spades_And8457_S3_L001	4605999.0	50.0	1.0	1.0	4927240.0	82.0	0.9348030540424254	0.6097560975609756	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
17	9268.0	9268.0	1.0	SP108_S87	9268.0	1.0	1.0	1.0	1934373.0	517.0	0.004791216585425872	0.0019342359767891683	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
196	216688.0	6019.111111111111	36.0	SP108_S87	216688.0	36.0	1.0	1.0	1934373.0	517.0	0.11201976040815292	0.06963249516441006	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
215	4308.0	4308.0	1.0	SP108_S87	4308.0	1.0	1.0	1.0	1934373.0	517.0	0.002227078231550999	0.0019342359767891683	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
21	14004.0	7002.0	2.0	SP108_S87	14004.0	2.0	1.0	1.0	1934373.0	517.0	0.007239555142674138	0.0038684719535783366	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
223	30022.0	30022.0	1.0	MIKI-NS15	30022.0	1.0	1.0	1.0	6804298.0	96.0	0.00441221122296525	0.010416666666666666	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
234	10861.0	5430.5	2.0	SP108_S87	10861.0	2.0	1.0	1.0	1934373.0	517.0	0.005614739246257056	0.0038684719535783366	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
236	447099.0	223549.5	2.0	MIKI-NS09	447099.0	2.0	1.0	1.0	2039640.0	22.0	0.2192048596811202	0.09090909090909091	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
237	31415.0	5235.833333333333	6.0	SP108_S87	31415.0	6.0	1.0	1.0	1934373.0	517.0	0.016240404513503857	0.01160541586073501	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
238	8889.0	8889.0	1.0	spades_And8457_S3_L001	8889.0	1.0	1.0	1.0	4927240.0	82.0	0.0018040525730429206	0.012195121951219513	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
2	26147.0	8715.666666666666	3.0	SP108_S87	26147.0	3.0	1.0	1.0	1934373.0	517.0	0.0135170414392674	0.005802707930367505	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
46	6276.0	3138.0	2.0	SP108_S87	6276.0	2.0	1.0	1.0	1934373.0	517.0	0.00324446215905619	0.0038684719535783366	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
78	9170.0	4585.0	2.0	SP108_S87	9170.0	2.0	1.0	1.0	1934373.0	517.0	0.004740554174401731	0.0038684719535783366	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
7	17688.0	5896.0	3.0	SP108_S87	17688.0	3.0	1.0	1.0	1934373.0	517.0	0.009144048226479589	0.005802707930367505	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
81	1296399.0	162049.875	8.0	MIKI-NS09	1296399.0	8.0	1.0	1.0	2039640.0	22.0	0.6356018709183974	0.36363636363636365	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
85	2531615.0	316451.875	8.0	MIKI-NS08	2531615.0	8.0	1.0	1.0	2548574.0	10.0	0.9933456905704916	0.8	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
86	5009578.0	151805.39393939395	33.0	MIKI-NS14	5009578.0	33.0	1.0	1.0	5248865.0	43.0	0.95441166804633	0.7674418604651163	NA	MetaBAT 0.25.4 (A3)	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_length_weight_result.348	1318.0	1318.0	1.0	spades_ESBL6643_S3_L001	1318.0	1.0	1.0	1.0	5120124.0	22.0	0.00025741564071495146	0.045454545454545456	NA	MetaBinner 1.0 (B1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_length_weight_cov_only_result.401	1689680.0	129975.38461538461	13.0	SP21_S92	1689680.0	13.0	1.0	1.0	1689680.0	13.0	1.0	1.0	NA	MetaBinner 1.0 (B1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_length_weight_cov_sr_only_partial_seed_output.256	2258.0	2258.0	1.0	spades_And8457_S3_L001	2258.0	1.0	1.0	1.0	4927240.0	82.0	0.00045826872650814657	0.012195121951219513	NA	MetaBinner 1.0 (B1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_length_weight_com_only_result.094	5014856.0	139301.55555555556	36.0	MIKI-NS14	5014856.0	36.0	1.0	1.0	5248865.0	43.0	0.9554172187701532	0.8372093023255814	NA	MetaBinner 1.0 (B1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_sr_partial_seed_length_weight_output.278	6853481.0	69933.47959183673	98.0	MIKI-NS15	6798820.0	95.0	0.9920243450007376	0.9693877551020408	6804298.0	96.0	0.9991949206222303	0.9895833333333334	NA	MetaBinner 1.0 (B1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_sr_partial_seed_length_weight_output.009	4895223.0	66151.66216216216	74.0	spades_And8457_S3_L001	4895223.0	74.0	1.0	1.0	4927240.0	82.0	0.9935020417109781	0.9024390243902439	NA	MetaBinner 1.0 (B1)	strmgCAMI2_short_read_pooled_gold_standard_assembly
