BINID	Tool	genome_id	length_gs	precision_bp	precision_seq	rank	recall_bp	recall_seq	seq_counts_gs	seq_length_mean	total_length	total_seq_counts	tp_length	tp_seq_counts	sample_id
MIKI-NS15	Gold standard	MIKI-NS15	6804298	1.0	1.0	NA	1.0	1.0	96	70878.10416666667	6804298	96	6804298	96	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS09	Gold standard	MIKI-NS09	2039640	1.0	1.0	NA	1.0	1.0	22	92710.90909090909	2039640	22	2039640	22	strmgCAMI2_short_read_pooled_gold_standard_assembly
spades_ESBL6643_S3_L001	Gold standard	spades_ESBL6643_S3_L001	5120124	1.0	1.0	NA	1.0	1.0	22	232732.9090909091	5120124	22	5120124	22	strmgCAMI2_short_read_pooled_gold_standard_assembly
MIKI-NS13	Gold standard	MIKI-NS13	7206672	1.0	1.0	NA	1.0	1.0	26	277179.6923076923	7206672	26	7206672	26	strmgCAMI2_short_read_pooled_gold_standard_assembly
SP21_S92	Gold standard	SP21_S92	1689680	1.0	1.0	NA	1.0	1.0	13	129975.38461538461	1689680	13	1689680	13	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.249	MetaBAT 2.13-33 (A1)	spades_ESBL6643_S3_L001	5120124	1.0	1.0	NA	0.9980109856714408	0.7272727272727273	22	319371.25	5109940	16	5109940	16	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.143	MetaBAT 2.13-33 (A1)	MIKI-NS08	2548574	1.0	1.0	NA	0.9933456905704916	0.8	10	316451.875	2531615	8	2531615	8	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.370	MetaBAT 2.13-33 (A1)	MIKI-NS12	2251851	1.0	1.0	NA	0.9882403409461816	0.8888888888888888	72	34771.40625	2225370	64	2225370	64	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.300	MetaBAT 2.13-33 (A1)	MIKI-NS02	2999760	1.0	1.0	NA	0.9869036189561832	0.8604651162790697	43	80012.81081081081	2960474	37	2960474	37	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.117	MetaBAT 2.13-33 (A1)	MIKI-NS06	1964616	1.0	1.0	NA	0.9829722449577932	0.5483870967741935	31	113597.82352941176	1931163	17	1931163	17	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.225	MetaBAT 2.13-33 (A1)	MIKI-NS10	2092134	1.0	1.0	NA	0.969695057773546	0.76	100	26693.842105263157	2028732	76	2028732	76	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.284	MetaBAT 2.13-33 (A1)	MIKI-NS15	6804298	1.0	1.0	NA	0.9692782414879536	0.6979166666666666	96	98436.68656716419	6595258	67	6595258	67	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.165	MetaBAT 2.13-33 (A1)	MIKI-NS13	7206672	1.0	1.0	NA	0.9487103062273404	0.7307692307692307	26	359844.4210526316	6837044	19	6837044	19	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.97	MetaBAT 2.13-33 (A1)	spades_And8457_S3_L001	4927240	1.0	1.0	NA	0.9417586721978227	0.6097560975609756	82	92805.42	4640271	50	4640271	50	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.323	MetaBAT 2.13-33 (A1)	MIKI-NS20	5362682	1.0	1.0	NA	0.9171632776286194	0.44711538461538464	208	52886.6129032258	4918455	93	4918455	93	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.214	MetaBAT 2.13-33 (A1)	MIKI-NS14	5248865	1.0	1.0	NA	0.9170917903203836	0.7674418604651163	43	145869.42424242425	4813691	33	4813691	33	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.349	MetaBAT 2.13-33 (A1)	MIKI-NS03	4487888	1.0	1.0	NA	0.9018114979696463	0.48344370860927155	151	55441.49315068493	4047229	73	4047229	73	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.209	MetaBAT 2.13-33 (A1)	MIKI-NS09	2039640	1.0	1.0	NA	0.6356018709183974	0.36363636363636365	22	162049.875	1296399	8	1296399	8	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.400	MetaBAT 2.13-33 (A1)	SP21_S92	1689680	1.0	1.0	NA	0.5321119975379953	0.23076923076923078	13	299699.6666666667	899099	3	899099	3	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.335	MetaBAT 2.13-33 (A1)	SP21_S92	1689680	1.0	1.0	NA	0.432185976042801	0.38461538461538464	13	146051.2	730256	5	730256	5	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.375	MetaBAT 2.13-33 (A1)	MIKI-NS09	2039640	1.0	1.0	NA	0.2192048596811202	0.09090909090909091	22	223549.5	447099	2	447099	2	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.519	MetaBAT 2.13-33 (A1)	MIKI-NS14	5248865	1.0	1.0	NA	0.06917419289694057	0.023255813953488372	43	363086.0	363086	1	363086	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.447	MetaBAT 2.13-33 (A1)	MIKI-NS13	7206672	1.0	1.0	NA	0.04390750682145656	0.07692307692307693	26	158213.5	316427	2	316427	2	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.122	MetaBAT 2.13-33 (A1)	SP108_S87	1934373	1.0	1.0	NA	0.011489511071546181	0.01160541586073501	517	3704.1666666666665	22225	6	22225	6	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.247	MetaBAT 2.13-33 (A1)	SP108_S87	1934373	1.0	1.0	NA	0.008077552778083648	0.0038684719535783366	517	7812.5	15625	2	15625	2	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.222	MetaBAT 2.13-33 (A1)	SP108_S87	1934373	1.0	1.0	NA	0.007276776505875548	0.0019342359767891683	517	14076.0	14076	1	14076	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.224	MetaBAT 2.13-33 (A1)	SP108_S87	1934373	1.0	1.0	NA	0.005747598834350976	0.0038684719535783366	517	5559.0	11118	2	11118	2	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.303	MetaBAT 2.13-33 (A1)	SP108_S87	1934373	1.0	1.0	NA	0.005726920299239081	0.0038684719535783366	517	5539.0	11078	2	11078	2	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.368	MetaBAT 2.13-33 (A1)	SP108_S87	1934373	1.0	1.0	NA	0.004141393619534598	0.0019342359767891683	517	8011.0	8011	1	8011	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.396	MetaBAT 2.13-33 (A1)	SP108_S87	1934373	1.0	1.0	NA	0.0032336059281224457	0.0019342359767891683	517	6255.0	6255	1	6255	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.609	MetaBAT 2.13-33 (A1)	SP108_S87	1934373	1.0	1.0	NA	0.0030867883288279974	0.0019342359767891683	517	5971.0	5971	1	5971	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.290	MetaBAT 2.13-33 (A1)	SP108_S87	1934373	1.0	1.0	NA	0.002930665388733197	0.0019342359767891683	517	5669.0	5669	1	5669	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.417	MetaBAT 2.13-33 (A1)	SP108_S87	1934373	1.0	1.0	NA	0.0025558669398301156	0.0019342359767891683	517	4944.0	4944	1	4944	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.254	MetaBAT 2.13-33 (A1)	SP108_S87	1934373	1.0	1.0	NA	0.0015793231191709148	0.0019342359767891683	517	3055.0	3055	1	3055	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.230	MetaBAT 2.13-33 (A1)	SP108_S87	1934373	1.0	1.0	NA	0.0013249771372946168	0.0019342359767891683	517	2563.0	2563	1	2563	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.188	MetaBAT 2.13-33 (A1)	SP108_S87	1934373	1.0	1.0	NA	0.0012748316896482735	0.0019342359767891683	517	2466.0	2466	1	2466	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.217	MetaBAT 2.13-33 (A1)	MIKI-NS02	2999760	1.0	1.0	NA	0.0010910872869829586	0.023255813953488372	43	3273.0	3273	1	3273	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.414	MetaBAT 2.13-33 (A2)	MIKI-NS08	2548574	1.0	1.0	NA	0.987125741689274	0.7	10	359394.71428571426	2515763	7	2515763	7	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.106	MetaBAT 2.13-33 (A2)	MIKI-NS06	1964616	1.0	1.0	NA	0.9769354418369799	0.5161290322580645	31	119956.4375	1919303	16	1919303	16	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.390	MetaBAT 2.13-33 (A2)	MIKI-NS12	2251851	1.0	1.0	NA	0.9688962546811489	0.8333333333333334	72	36363.5	2181810	60	2181810	60	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.579	MetaBAT 2.13-33 (A2)	spades_ESBL6643_S3_L001	5120124	1.0	1.0	NA	0.9634120189276666	0.6363636363636364	22	352342.0714285714	4932789	14	4932789	14	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.140	MetaBAT 2.13-33 (A2)	MIKI-NS02	2999760	1.0	1.0	NA	0.9582593274128597	0.6744186046511628	43	99122.3448275862	2874548	29	2874548	29	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.344	MetaBAT 2.13-33 (A2)	MIKI-NS15	6804298	1.0	1.0	NA	0.9575965073840094	0.6145833333333334	96	110436.81355932204	6515772	59	6515772	59	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.412	MetaBAT 2.13-33 (A2)	MIKI-NS13	7206672	1.0	1.0	NA	0.9487103062273404	0.7307692307692307	26	359844.4210526316	6837044	19	6837044	19	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.369	MetaBAT 2.13-33 (A2)	MIKI-NS10	2092134	1.0	1.0	NA	0.9474001187304446	0.69	100	28725.91304347826	1982088	69	1982088	69	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.350	MetaBAT 2.13-33 (A2)	spades_And8457_S3_L001	4927240	1.0	1.0	NA	0.936239558048725	0.5853658536585366	82	96105.77083333333	4613077	48	4613077	48	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.159	MetaBAT 2.13-33 (A2)	MIKI-NS14	5248865	1.0	1.0	NA	0.9170917903203836	0.7674418604651163	43	145869.42424242425	4813691	33	4813691	33	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.282	MetaBAT 2.13-33 (A2)	MIKI-NS03	4487888	1.0	1.0	NA	0.8848901755124013	0.4304635761589404	151	61096.73846153846	3971288	65	3971288	65	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.137	MetaBAT 2.13-33 (A2)	MIKI-NS20	5362682	1.0	1.0	NA	0.7304190328645256	0.23076923076923078	208	81604.27083333333	3917005	48	3917005	48	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.228	MetaBAT 2.13-33 (A2)	MIKI-NS09	2039640	1.0	1.0	NA	0.6356018709183974	0.36363636363636365	22	162049.875	1296399	8	1296399	8	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.392	MetaBAT 2.13-33 (A2)	SP21_S92	1689680	1.0	1.0	NA	0.5321119975379953	0.23076923076923078	13	299699.6666666667	899099	3	899099	3	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.343	MetaBAT 2.13-33 (A2)	SP21_S92	1689680	1.0	1.0	NA	0.432185976042801	0.38461538461538464	13	146051.2	730256	5	730256	5	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.112	MetaBAT 2.13-33 (A2)	MIKI-NS09	2039640	1.0	1.0	NA	0.2192048596811202	0.09090909090909091	22	223549.5	447099	2	447099	2	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.169	MetaBAT 2.13-33 (A2)	MIKI-NS20	5362682	1.0	1.0	NA	0.15426180407490134	0.1971153846153846	208	20177.0	827257	41	827257	41	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.235	MetaBAT 2.13-33 (A2)	MIKI-NS14	5248865	1.0	1.0	NA	0.06917419289694057	0.023255813953488372	43	363086.0	363086	1	363086	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.93	MetaBAT 2.13-33 (A2)	MIKI-NS13	7206672	1.0	1.0	NA	0.04390750682145656	0.07692307692307693	26	158213.5	316427	2	316427	2	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.185	MetaBAT 2.13-33 (A2)	SP108_S87	1934373	1.0	1.0	NA	0.008918135230382145	0.009671179883945842	517	3450.2	17251	5	17251	5	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.330	MetaBAT 2.13-33 (A2)	SP108_S87	1934373	1.0	1.0	NA	0.008077552778083648	0.0038684719535783366	517	7812.5	15625	2	15625	2	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.273	MetaBAT 2.13-33 (A2)	SP108_S87	1934373	1.0	1.0	NA	0.007276776505875548	0.0019342359767891683	517	14076.0	14076	1	14076	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.243	MetaBAT 2.13-33 (A2)	SP108_S87	1934373	1.0	1.0	NA	0.0062661131022817215	0.007736943907156673	517	3030.25	12121	4	12121	4	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.373	MetaBAT 2.13-33 (A2)	SP108_S87	1934373	1.0	1.0	NA	0.004141393619534598	0.0019342359767891683	517	8011.0	8011	1	8011	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.308	MetaBAT 2.13-33 (A2)	SP108_S87	1934373	1.0	1.0	NA	0.004104689219710986	0.0019342359767891683	517	7940.0	7940	1	7940	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.356	MetaBAT 2.13-33 (A2)	SP108_S87	1934373	1.0	1.0	NA	0.003647693593738126	0.0019342359767891683	517	7056.0	7056	1	7056	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.315	MetaBAT 2.13-33 (A2)	SP108_S87	1934373	1.0	1.0	NA	0.0030867883288279974	0.0019342359767891683	517	5971.0	5971	1	5971	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.247	MetaBAT 2.13-33 (A2)	SP108_S87	1934373	1.0	1.0	NA	0.002930665388733197	0.0019342359767891683	517	5669.0	5669	1	5669	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.149	MetaBAT 2.13-33 (A2)	SP108_S87	1934373	1.0	1.0	NA	0.002079226705500956	0.0019342359767891683	517	4022.0	4022	1	4022	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.413	MetaBAT 2.13-33 (A2)	SP108_S87	1934373	1.0	1.0	NA	0.0019194850217615733	0.0019342359767891683	517	3713.0	3713	1	3713	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
bin.218	MetaBAT 2.13-33 (A2)	SP108_S87	1934373	1.0	1.0	NA	0.0015793231191709148	0.0019342359767891683	517	3055.0	3055	1	3055	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
148	MetaBAT 0.25.4 (A3)	spades_ESBL6643_S3_L001	5120124	1.0	1.0	NA	0.9986426109992649	0.7727272727272727	22	300774.9411764706	5113174	17	5113174	17	strmgCAMI2_short_read_pooled_gold_standard_assembly
111	MetaBAT 0.25.4 (A3)	SP21_S92	1689680	1.0	1.0	NA	0.9949895838265234	0.7692307692307693	13	168121.4	1681214	10	1681214	10	strmgCAMI2_short_read_pooled_gold_standard_assembly
85	MetaBAT 0.25.4 (A3)	MIKI-NS08	2548574	1.0	1.0	NA	0.9933456905704916	0.8	10	316451.875	2531615	8	2531615	8	strmgCAMI2_short_read_pooled_gold_standard_assembly
133	MetaBAT 0.25.4 (A3)	MIKI-NS13	7206672	1.0	1.0	NA	0.992617813048797	0.8076923076923077	26	340641.4761904762	7153471	21	7153471	21	strmgCAMI2_short_read_pooled_gold_standard_assembly
141	MetaBAT 0.25.4 (A3)	MIKI-NS06	1964616	1.0	1.0	NA	0.9877456968690065	0.6129032258064516	31	102133.73684210527	1940541	19	1940541	19	strmgCAMI2_short_read_pooled_gold_standard_assembly
164	MetaBAT 0.25.4 (A3)	MIKI-NS02	2999760	1.0	1.0	NA	0.9863275728724965	0.8372093023255814	43	82187.38888888889	2958746	36	2958746	36	strmgCAMI2_short_read_pooled_gold_standard_assembly
160	MetaBAT 0.25.4 (A3)	MIKI-NS12	2251851	1.0	1.0	NA	0.979448906699422	0.875	72	35009.09523809524	2205573	63	2205573	63	strmgCAMI2_short_read_pooled_gold_standard_assembly
106	MetaBAT 0.25.4 (A3)	MIKI-NS15	6804298	1.0	1.0	NA	0.9714327620571586	0.7395833333333334	96	93097.43661971831	6609918	71	6609918	71	strmgCAMI2_short_read_pooled_gold_standard_assembly
86	MetaBAT 0.25.4 (A3)	MIKI-NS14	5248865	1.0	1.0	NA	0.95441166804633	0.7674418604651163	43	151805.39393939395	5009578	33	5009578	33	strmgCAMI2_short_read_pooled_gold_standard_assembly
155	MetaBAT 0.25.4 (A3)	MIKI-NS03	4487888	1.0	1.0	NA	0.944710741444528	0.5695364238410596	151	49299.48837209302	4239756	86	4239756	86	strmgCAMI2_short_read_pooled_gold_standard_assembly
149	MetaBAT 0.25.4 (A3)	MIKI-NS10	2092134	1.0	1.0	NA	0.9356766822775214	0.74	100	26453.527027027027	1957561	74	1957561	74	strmgCAMI2_short_read_pooled_gold_standard_assembly
171	MetaBAT 0.25.4 (A3)	spades_And8457_S3_L001	4927240	1.0	1.0	NA	0.9348030540424254	0.6097560975609756	82	92119.98	4605999	50	4605999	50	strmgCAMI2_short_read_pooled_gold_standard_assembly
162	MetaBAT 0.25.4 (A3)	MIKI-NS20	5362682	1.0	1.0	NA	0.7492556895971083	0.44711538461538464	208	43204.51612903226	4018020	93	4018020	93	strmgCAMI2_short_read_pooled_gold_standard_assembly
81	MetaBAT 0.25.4 (A3)	MIKI-NS09	2039640	1.0	1.0	NA	0.6356018709183974	0.36363636363636365	22	162049.875	1296399	8	1296399	8	strmgCAMI2_short_read_pooled_gold_standard_assembly
236	MetaBAT 0.25.4 (A3)	MIKI-NS09	2039640	1.0	1.0	NA	0.2192048596811202	0.09090909090909091	22	223549.5	447099	2	447099	2	strmgCAMI2_short_read_pooled_gold_standard_assembly
167	MetaBAT 0.25.4 (A3)	MIKI-NS20	5362682	1.0	1.0	NA	0.17709869800223096	0.08653846153846154	208	52762.444444444445	949724	18	949724	18	strmgCAMI2_short_read_pooled_gold_standard_assembly
196	MetaBAT 0.25.4 (A3)	SP108_S87	1934373	1.0	1.0	NA	0.11201976040815292	0.06963249516441006	517	6019.111111111111	216688	36	216688	36	strmgCAMI2_short_read_pooled_gold_standard_assembly
237	MetaBAT 0.25.4 (A3)	SP108_S87	1934373	1.0	1.0	NA	0.016240404513503857	0.01160541586073501	517	5235.833333333333	31415	6	31415	6	strmgCAMI2_short_read_pooled_gold_standard_assembly
2	MetaBAT 0.25.4 (A3)	SP108_S87	1934373	1.0	1.0	NA	0.0135170414392674	0.005802707930367505	517	8715.666666666666	26147	3	26147	3	strmgCAMI2_short_read_pooled_gold_standard_assembly
7	MetaBAT 0.25.4 (A3)	SP108_S87	1934373	1.0	1.0	NA	0.009144048226479589	0.005802707930367505	517	5896.0	17688	3	17688	3	strmgCAMI2_short_read_pooled_gold_standard_assembly
21	MetaBAT 0.25.4 (A3)	SP108_S87	1934373	1.0	1.0	NA	0.007239555142674138	0.0038684719535783366	517	7002.0	14004	2	14004	2	strmgCAMI2_short_read_pooled_gold_standard_assembly
234	MetaBAT 0.25.4 (A3)	SP108_S87	1934373	1.0	1.0	NA	0.005614739246257056	0.0038684719535783366	517	5430.5	10861	2	10861	2	strmgCAMI2_short_read_pooled_gold_standard_assembly
17	MetaBAT 0.25.4 (A3)	SP108_S87	1934373	1.0	1.0	NA	0.004791216585425872	0.0019342359767891683	517	9268.0	9268	1	9268	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
78	MetaBAT 0.25.4 (A3)	SP108_S87	1934373	1.0	1.0	NA	0.004740554174401731	0.0038684719535783366	517	4585.0	9170	2	9170	2	strmgCAMI2_short_read_pooled_gold_standard_assembly
223	MetaBAT 0.25.4 (A3)	MIKI-NS15	6804298	1.0	1.0	NA	0.00441221122296525	0.010416666666666666	96	30022.0	30022	1	30022	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
163	MetaBAT 0.25.4 (A3)	spades_And8457_S3_L001	4927240	1.0	1.0	NA	0.0040103587403901575	0.012195121951219513	82	19760.0	19760	1	19760	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
46	MetaBAT 0.25.4 (A3)	SP108_S87	1934373	1.0	1.0	NA	0.00324446215905619	0.0038684719535783366	517	3138.0	6276	2	6276	2	strmgCAMI2_short_read_pooled_gold_standard_assembly
215	MetaBAT 0.25.4 (A3)	SP108_S87	1934373	1.0	1.0	NA	0.002227078231550999	0.0019342359767891683	517	4308.0	4308	1	4308	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
238	MetaBAT 0.25.4 (A3)	spades_And8457_S3_L001	4927240	1.0	1.0	NA	0.0018040525730429206	0.012195121951219513	82	8889.0	8889	1	8889	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
12	MetaBAT 0.25.4 (A3)	SP108_S87	1934373	1.0	1.0	NA	0.0015793231191709148	0.0019342359767891683	517	3055.0	3055	1	3055	1	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_length_weight_cov_only_result.401	MetaBinner 1.0 (B1)	SP21_S92	1689680	1.0	1.0	NA	1.0	1.0	13	129975.38461538461	1689680	13	1689680	13	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_length_weight_cov_sr_only_partial_seed_output.348	MetaBinner 1.0 (B1)	spades_ESBL6643_S3_L001	5120124	1.0	1.0	NA	0.9997425843592851	0.9545454545454546	22	243752.66666666666	5118806	21	5118806	21	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_length_weight_result.278	MetaBinner 1.0 (B1)	MIKI-NS13	7206672	1.0	1.0	NA	0.999239316011607	0.9615384615384616	26	288047.6	7201190	25	7201190	25	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_sr_partial_seed_length_weight_output.278	MetaBinner 1.0 (B1)	MIKI-NS15	6804298	0.9920243450007376	0.9693877551020408	NA	0.9991949206222303	0.9895833333333334	96	69933.47959183673	6853481	98	6798820	95	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_length_weight_result.071	MetaBinner 1.0 (B1)	MIKI-NS02	2999760	1.0	1.0	NA	0.9981718537482999	0.9767441860465116	43	71292.28571428571	2994276	42	2994276	42	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_sr_partial_seed_length_weight_output.252	MetaBinner 1.0 (B1)	MIKI-NS08	2548574	1.0	1.0	NA	0.9978478160728314	0.9	10	282565.44444444444	2543089	9	2543089	9	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_length_weight_result.062	MetaBinner 1.0 (B1)	MIKI-NS12	2251851	1.0	1.0	NA	0.9975664464478333	0.9861111111111112	72	31639.028169014084	2246371	71	2246371	71	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_length_weight_result.188	MetaBinner 1.0 (B1)	MIKI-NS06	1964616	1.0	1.0	NA	0.9972106508345652	0.967741935483871	31	65304.53333333333	1959136	30	1959136	30	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_sr_partial_seed_length_weight_output.009	MetaBinner 1.0 (B1)	spades_And8457_S3_L001	4927240	1.0	1.0	NA	0.9935020417109781	0.9024390243902439	82	66151.66216216216	4895223	74	4895223	74	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_partial_bacar_marker_seed_length_weight_output.197	MetaBinner 1.0 (B1)	MIKI-NS10	2092134	1.0	1.0	NA	0.965265609181821	0.92	100	21950.706521739132	2019465	92	2019465	92	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_length_weight_com_only_result.094	MetaBinner 1.0 (B1)	MIKI-NS14	5248865	1.0	1.0	NA	0.9554172187701532	0.8372093023255814	43	139301.55555555556	5014856	36	5014856	36	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_length_weight_hmm_cov_kmer_result_partial_seed.268	MetaBinner 1.0 (B1)	MIKI-NS03	4487888	1.0	1.0	NA	0.9214229499488401	0.8013245033112583	151	34175.561983471074	4135243	121	4135243	121	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_partial_bacar_marker_seed_length_weight_output.044	MetaBinner 1.0 (B1)	MIKI-NS20	5362682	1.0	1.0	NA	0.9147926354760547	0.6057692307692307	208	38934.46031746032	4905742	126	4905742	126	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_seed_partial_ori_with_postprocess.093	MetaBinner 1.0 (B1)	MIKI-NS09	2039640	1.0	1.0	NA	0.7357406208938833	0.4090909090909091	22	166738.44444444444	1500646	9	1500646	9	strmgCAMI2_short_read_pooled_gold_standard_assembly
159	MetaBinner 1.0 (B1)	MIKI-NS09	2039640	1.0	1.0	NA	0.21460846031652644	0.2727272727272727	22	72954.0	437724	6	437724	6	strmgCAMI2_short_read_pooled_gold_standard_assembly
kmeans_sr_partial_seed_length_weight_output.140	MetaBinner 1.0 (B1)	SP108_S87	1934373	1.0	1.0	NA	0.12072645761701595	0.08123791102514506	517	5560.238095238095	233530	42	233530	42	strmgCAMI2_short_read_pooled_gold_standard_assembly
9	MetaBinner 1.0 (B1)	SP108_S87	1934373	1.0	1.0	NA	0.09132106372452468	0.061895551257253385	517	5520.28125	176649	32	176649	32	strmgCAMI2_short_read_pooled_gold_standard_assembly
