Assemblies	A-STAR_contig_hybrid	A-STAR_scaffold_hybrid	ABySS_short	HipMer_cgraph-ono_short	HipMer_cgraph_short	HipMer_Metagenome_short	Miniasm_GATB_hybrid	Megahit_v1.1.4-2_short	Megahit_v1.1.2_short	metaSPAdes_v3.13.0_short	metaSPAdes_v3.13.1_short	Ray-Meta_short	SPAdes_v3.14-dev_short	Flye_long	Megahit_V1.2.7-inhouse_short	metaSPAdes_v3.13.1-inhouse_short	OPERA-MS-inhouse_hybrid	pooled_short_gsa	pooled_long_gsa	pooled_hybrid_gsa
B9_25K2_S3_contigs	9.673	9.649	0.0	1.031	1.030	0.444	7.893	0.344	4.106	2.298	2.353	0.0	0.487	0.0	5.366	2.336	3.257	95.064	96.585	99.785
Bacillus_infantis_NRRL_B_14911_genomic	55.063	55.081	0.041	98.291	98.184	97.959	96.507	63.698	98.779	98.407	98.395	88.454	15.908	0.0	98.423	97.909	94.210	100.000	99.976	100.000
Bacillus_safensis_strain_KCTC_12796BP_genomic	1.259	0.485	0.0	0.041	0.061	0.014	0.246	0.017	0.049	0.043	0.043	0.494	0.265	0.0	0.066	0.055	0.067	57.956	83.222	93.913
Bacillus_sp_Alg07_genomic	1.720	1.715	0.0	0.076	0.076	0.068	0.556	0.150	0.631	0.392	0.401	0.012	0.074	0.0	1.040	0.339	0.681	73.039	88.129	97.327
Bacillus_sp_Pc3_genomic	26.571	23.811	0.015	10.815	10.412	6.561	44.547	0.235	5.210	7.712	7.673	0.154	0.854	0.0	8.747	8.736	3.057	98.730	99.335	99.988
Bacillus_velezensis_strain_9912D_genomic	0.402	0.304	0.0	0.493	0.555	0.291	1.534	0.094	0.290	0.273	0.273	0.070	0.076	0.0	0.312	0.394	0.144	64.119	84.060	94.905
Bacteriovorax_marinus_SJ_genomic	34.687	31.927	0.0	9.405	9.071	5.822	39.107	0.720	12.133	9.975	9.958	0.109	0.371	0.0	16.964	9.873	5.572	99.286	99.721	99.994
Bdellovibrio_bacteriovorus_strain_109J_genomic	92.508	92.699	0.0	76.345	75.436	70.422	95.869	2.434	81.812	81.264	81.499	17.382	3.432	0.0	93.552	69.871	43.363	99.992	99.976	99.999
Belliella_baltica_DSM_15883_genomic	6.954	6.675	0.019	0.938	0.887	0.686	4.313	0.649	2.957	2.126	2.157	0.367	0.405	0.0	3.794	1.921	2.575	91.432	96.058	99.690
Brucella_ceti_TE10759_12_genomic	20.716	21.675	0.0	51.280	48.975	40.688	37.126	37.320	50.739	44.346	45.736	40.861	21.513	0.0	46.690	50.153	35.440	99.874	99.966	99.997
Brucella_ceti_TE28753_12_genomic	11.138	5.297	0.042	5.746	8.281	13.724	2.005	3.963	0.553	2.128	1.844	11.430	7.078	0.0	5.025	4.146	4.349	75.581	96.438	99.808
Brucella_pinnipedialis_B2_94_genomic	24.227	28.424	0.053	43.773	43.311	44.169	36.449	44.572	47.830	52.468	51.457	44.028	18.646	0.0	47.080	43.765	28.577	99.987	99.945	99.996
Brucella_sp_141012304_genomic	2.261	2.206	0.015	0.655	0.647	0.420	2.224	0.236	1.121	0.823	0.807	0.075	0.108	0.0	1.231	0.652	0.530	98.336	98.817	99.986
Caldithrix_abyssi_DSM_13497_genomic	83.117	82.940	0.185	64.827	64.026	57.606	87.344	3.364	65.711	61.503	61.615	10.521	2.502	0.0	76.464	45.197	21.690	99.994	99.968	100.000
Campylobacter_lari_strain_Slaughter_Beach_genomic	6.707	6.666	0.0	1.311	1.311	0.704	4.265	0.476	2.848	1.436	1.373	0.043	0.530	0.0	3.547	0.980	1.959	93.548	97.078	99.873
Campylobacter_peloridis_LMG_23910_genomic	17.690	16.746	0.0	6.266	6.151	3.800	23.552	0.906	6.887	5.323	5.380	0.835	0.837	0.0	6.719	3.999	4.152	98.495	99.010	99.963
Candidatus_Aquiluna_sp_UB_MaderosW2red_genomic	55.491	51.542	0.0	20.587	19.448	14.812	57.584	0.742	18.450	18.570	18.734	0.384	0.516	0.0	29.992	19.251	4.570	99.734	99.747	99.994
Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_genomic	55.377	55.282	0.0	93.259	92.565	90.313	97.751	5.455	95.812	91.721	91.576	49.588	5.525	0.0	98.785	68.602	70.552	99.997	99.967	99.997
Candidatus_Endolissoclinum_faulkneri_L5_genomic	98.668	98.633	99.304	99.819	99.908	99.703	70.845	92.869	99.060	99.710	99.710	99.150	99.740	0.0	98.042	99.975	98.852	100.000	99.995	100.000
Candidatus_Endolissoclinum_patella_L2_genomic	99.999	99.999	85.065	99.946	99.910	99.788	51.337	90.655	99.959	99.749	99.809	99.798	99.725	0.0	97.075	99.721	99.901	99.999	99.991	99.999
Candidatus_Gloeomargarita_lithophora_D10_genomic	66.121	66.119	0.0	97.800	98.022	98.063	84.970	91.301	98.833	98.745	98.793	94.018	29.516	0.0	97.967	98.484	92.657	99.921	99.991	100.000
Candidatus_Nitrosoarchaeum_limnia_SFB1_genomic	99.565	99.565	94.631	99.595	99.559	99.301	61.144	98.473	99.593	99.568	99.567	96.693	99.836	0.0	99.457	99.590	96.971	99.669	99.992	99.992
Candidatus_Nitrosopelagicus_brevis_CN25_genomic	69.896	67.798	0.0	41.955	40.876	34.135	81.437	1.001	32.477	28.716	27.876	2.359	1.680	0.0	46.662	19.012	8.200	99.985	99.899	99.998
Candidatus_Nitrosopumilus_koreensis_AR1_genomic	0.075	0.066	0.0	0.0	0.0	0.0	0.0	0.025	0.053	0.008	0.017	0.0	0.0	0.0	0.0	0.013	0.027	16.148	51.784	61.036
