Assemblies	gsa (short)	gsa (long)	gsa(hybrid)	HipMer (short)	Flye (long)	Flye (hybrid)	Flye_strain (long)	Flye strain (hybrid)	HipMer2 (short)	SPAdes (short)	MEGAHIT (short)	OPERA-MS (hybrid)	Flye inhouse (hybrid)
1120967.PRJNA185542	99.956	99.461	99.943	98.458	0.261	0.261	0.261	0.261	98.572	17.461	35.812	28.905	0.244
1120971.PRJNA185546	0.065	3.5	2.073	-	-	-	-	-	-	-	-	-	-
1120973.PRJNA174171	41.023	72.443	59.781	-	0.705	0.705	0.705	0.705	0.233	0.981	2.75	2.023	0.705
1120985.PRJNA188816	0.33	11.871	12.262	-	-	-	-	-	-	-	-	-	-
1121033.PRJNA185555	99.969	99.62	99.952	99.129	0.59	0.59	0.59	0.59	99.156	0.013	0.002	0.002	0.59
1121125.PRJNA188849	0.161	8.869	9.107	-	0.63	0.63	0.63	0.63	-	0.002	-	-	0.63
1121272.PRJNA165369	99.938	99.839	99.983	99.687	4.903	4.903	4.903	4.903	99.709	25.789	55.343	48.475	4.903
1121288.PRJNA188854	0.089	5.788	5.915	-	-	-	-	-	-	-	-	-	-
1121335.PRJNA181307	0.056	5.61	5.668	-	-	-	-	-	-	-	-	-	-
1121342.PRJNA194074	0.486	12.806	10.566	-	-	-	-	-	-	-	-	-	-
1121346.PRJNA182399	0.38	13.958	14.483	-	-	-	-	-	-	-	-	-	-
1121353.PRJNA190670	0.02	4.936	4.975	-	-	-	-	-	-	-	-	-	-
1121362.PRJNA168616	0.133	7.574	7.742	-	-	-	-	-	-	-	-	-	-
1121372.PRJNA188856	3.061	31.521	34.49	-	-	-	-	-	-	-	-	0.003	-
1121377.PRJNA183018	0.012	4.444	4.513	-	-	-	-	-	-	-	-	-	0.002
1121385.PRJNA182401	0.881	16.532	17.388	-	-	-	-	-	-	-	-	-	-
1121917.PRJNA165395	0.114	9.011	9.213	-	-	-	-	-	-	-	-	0.002	-
1121926.PRJNA188906	0.031	4.1	3.044	-	-	-	-	-	-	-	-	-	-
1123261.PRJNA195811	61.719	82.082	93.545	0.173	-	-	-	-	1.324	0.72	1.419	1.298	-
1124780.PRJNA182711	93.694	95.24	96.191	8.775	1.132	1.132	1.132	1.132	21.162	16.948	34.765	28.862	1.132
1128398.PRJNA79221	0.094	7.579	7.695	-	-	-	-	-	-	-	-	-	-
1131730.PRJNA80825	0.419	12.142	12.997	-	-	-	-	-	-	0.002	0.001	-	-
1131731.PRJNA80827	0.186	8.422	8.664	-	-	-	-	-	-	-	0.002	-	-
1136417.PRJNA169836	0.088	3.887	1.996	-	-	-	-	-	-	-	-	-	-
1150621.PRJNA84417	0.071	5.759	5.855	-	-	-	-	-	-	-	-	-	-
1150864.PRJNA84455	37.867	70.951	82.944	0.026	-	-	-	-	0.236	0.043	0.068	0.074	-
1156918.PRJNA86069	0.068	4.703	4.806	-	0.002	-	0.002	-	-	-	-	-	-
1156919.PRJNA86071	5.402	35.948	40.542	-	-	-	-	-	-	0.032	0.045	0.02	0.001
1159488.PRJEA88899	13.231	49.837	57.522	-	0.013	0.013	0.013	0.013	0.019	-	-	0.05	-
1173027.PRJNA158839	0.148	9.337	9.565	-	-	-	-	-	-	-	-	-	-
1174504.PRJNA159255	0.414	13.679	9.051	-	-	0.002	-	0.002	-	-	-	-	-
1178482.PRJNA214306	20.24	57.366	30.11	-	0.602	0.602	0.602	0.602	0.081	-	-	-	0.602
1196323.PRJNA167831	6.85	38.502	20.74	-	-	-	-	-	-	0.007	0.033	0.02	-
1200352.PRJNA168617	0.196	9.506	9.735	-	-	-	-	-	-	-	-	-	-
1202532.PRJNA169163	99.932	99.724	99.955	99.724	0.001	-	0.001	-	99.83	-	0.002	-	0.004
1205910.PRJNA169662	29.061	64.48	76.282	0.01	-	-	-	-	0.109	-	-	-	-
1206777.PRJNA170013	0.107	7.148	7.324	-	-	0.007	-	0.008	-	-	0.002	0.001	0.005
1206781.PRJNA170044	0.214	9.618	9.88	-	-	-	-	-	-	-	-	-	-
1214102.PRJNA170443	0.24	9.66	9.977	-	0.275	0.275	0.275	0.275	-	-	0.002	-	0.276
1214242.PRJNA171216	100	100	100	91.895	92.29	92.281	91.616	91.609	91.917	91.749	91.569	92.351	92.359
1217712.PRJNA183309	0.079	5.539	5.644	-	-	-	-	-	-	-	-	-	-
1217715.PRJNA183332	0.043	3.641	3.696	-	-	-	-	-	-	-	-	-	-
1217718.PRJNA171721	98.662	97.358	99.197	27.734	0.064	0.066	0.066	0.067	42.263	0.003	0.007	0.003	0.019
1217720.PRJNA171724	0.7	16.417	6.948	-	0.369	0.371	0.369	0.369	-	-	-	-	0.371
1217721.PRJNA254093	0.141	8.096	8.273	-	-	-	-	-	-	0.003	0.002	0.002	-
1218084.PRJDB257	99.981	99.869	99.982	99.813	0.068	54.367	0.046	54.507	99.492	99.62	99.274	90.792	0.01
1223523.PRJNA188290	0.075	5.921	6.058	-	-	0.001	-	0.001	-	-	-	-	0.001
1238237.PRJNA176510	1.008	15.528	0.931	-	-	-	-	-	-	-	-	-	-
1246995.PRJNA178199	66.884	85.633	95.748	0.33	0.003	-	0.003	0.001	2.083	0.084	0.091	0.057	-
1254432.PRJNA179502	71.195	87.771	96.915	0.448	0.001	0.001	0.001	0.001	1.997	0.415	1.416	1.155	-
1262454.PRJNA182080	1.824	23.459	25.336	-	1.069	0.376	1.062	0.369	-	0.003	0.003	0.002	1.639
1267600.PRJNA239657	0.142	7.441	7.658	-	-	-	-	-	-	-	-	-	-
1267981.PRJNA232073	98.788	97.748	99.841	55.944	-	-	-	-	65.972	50.47	79.612	72.783	-
1283299.PRJNA186462	46.513	75.238	87.684	0.042	1.108	0.466	1.339	0.698	0.399	0.185	0.272	0.181	1.109
1285583.PRJNA186910	0.969	17.393	18.522	-	-	-	-	-	-	-	0.002	0.002	-
1285586.PRJNA186959	0.229	9.125	0.887	-	-	-	-	-	-	-	-	-	-
1286171.PRJNA187031	47.542	76.058	87.834	0.656	0.795	0.795	0.795	0.795	1.146	-	-	-	0.502
1292035.PRJNA188694	98.929	98.325	99.301	82.969	1.839	1.839	1.839	1.839	86.491	-	-	-	1.839
1295141.PRJNA189715	0.228	9.728	10.024	0.082	-	-	0.001	0.001	0.082	0.083	0.001	0.001	0.08
1298859.PRJNA190816	99.99	99.896	99.992	99.398	0.641	0.453	0.644	0.494	99.376	70.234	92.813	68.104	0.312
1298862.PRJNA190819	21.92	59.271	69.201	-	2.76	2.76	2.76	2.76	0.043	0.115	0.235	0.219	2.763
1303518.PRJEB1573	0.147	9.173	9.362	-	-	-	-	-	-	-	-	-	-
1304866.PRJNA195881	0.012	3.662	3.68	-	-	-	-	-	-	-	-	-	-
1304886.PRJNA195832	0.598	13.988	14.636	-	1.474	1.474	1.474	1.474	-	-	-	-	1.474
1312954.PRJNA232074	12.898	49.022	57.419	-	1.113	1.113	1.113	1.113	0.028	-	0.002	-	1.113
1312959.PRJNA232079	0.121	7.847	8.068	-	0.532	0.532	0.532	0.532	-	-	0.003	-	0.532
1316927.PRJNA196427	0.196	9.473	5.459	-	0.001	0.001	0.001	-	-	-	0.003	0.002	-
1343740.PRJNA207502	0.623	15.544	16.236	-	-	0.001	-	-	-	-	0.002	-	-
1345695.PRJNA217481	0.02	5.586	5.624	-	-	-	-	-	-	-	-	-	-
1353246.PRJNA210247	0.061	5.703	5.852	-	0.831	0.831	0.831	0.831	-	-	-	-	0.831
1356854.PRJNA210955	0.067	5.715	5.86	-	-	-	-	-	-	-	-	-	-
1365176.PRJNA212068	0.09	11.19	11.378	-	-	-	-	-	-	-	-	-	-
1367847.PRJNA212980	8.902	43.071	49.387	-	-	0.005	0.003	0.005	0.035	0.09	0.103	0.05	0.002
1380394.PRJNA213782	0.117	8.903	9.082	-	-	-	-	-	-	-	-	-	0.001
1380763.PRJNA238415	1.115	16.061	18.51	-	1.822	1.822	1.822	1.822	-	-	-	-	1.822
1387231.PRJNA215329	0.936	18.051	19.043	-	0.136	0.136	0.135	0.135	-	0.001	0.004	0.001	0.302
1400520.PRJNA219157	0.09	6.985	7.108	-	-	-	-	-	-	-	-	-	-
1404245.PRJNA221205	0.077	5.346	5.449	-	-	-	-	-	-	-	-	-	-
1405.PRJNA243593	0.109	7.419	7.542	0.002	0.001	0.001	0.001	0.001	-	-	-	-	0.001
1406.PRJNA261104	0.101	5.49	5.601	-	-	-	-	-	-	0.002	-	-	-
1408254.PRJNA223198	0.186	9.763	10.003	-	-	-	-	-	-	-	-	-	-
1417988.PRJNA226735	0.114	7.836	8.001	-	-	-	-	-	-	-	-	-	-
1419583.PRJNA227201	99.729	99.805	99.862	98.693	4.026	7.452	4.015	7.158	98.696	99.621	95.326	3.901	3.99
1429046.PRJNA229768	2.045	24.605	26.855	-	2.066	2.028	2.067	2.028	-	-	-	-	2.207
1432050.PRJNA230502	2.048	23.623	25.485	-	0.002	0.002	0.002	0.002	-	-	-	0.001	-
1439940.PRJNA232351	0.138	8.766	9.017	-	-	-	-	0.001	-	-	0.002	-	-
1441930.PRJNA232738	0.078	5.955	6.062	-	0.002	-	0.002	-	-	-	-	-	-
1449976.PRJNA235190	0.202	8.927	9.19	-	-	-	-	-	-	-	-	0.001	-
1459636.PRJNA235208	0.07	5.732	5.851	-	-	-	-	-	-	-	-	-	-
1463864.PRJNA238534	99.878	99.854	99.99	99.804	-	0.019	-	0.019	99.813	99.716	99.184	20.412	-
1501230.PRJNA246682	9.846	43.204	49.768	-	0.374	0.374	0.374	0.374	0.007	-	-	-	0.374
1523621.PRJNA255748	0.167	5.164	5.673	-	0.738	0.738	0.738	0.738	-	-	-	-	0.741
1927.PRJNA242829	0.115	7.118	7.295	-	-	-	-	-	-	-	0.001	0.002	-
196162.PRJNA12738	33.506	68.657	80.468	0.016	-	-	-	-	0.197	0.018	0.008	-	-
204669.PRJNA15771	0.243	10.633	10.929	-	-	-	-	-	-	-	-	-	-
208439.PRJNA251529	100	99.998	100	99.732	99.976	99.976	99.962	99.959	99.712	99.601	99.603	83.511	99.93
219305.PRJNA33595	99.902	99.993	100	99.328	-	0.037	-	0.031	99.268	99.037	99.003	99.008	-
234267.PRJNA12638	0.083	5.625	5.722	-	-	-	-	-	-	-	-	-	-
236814.PRJNA256039	0.515	14.106	14.721	-	-	-	-	-	-	-	-	-	-
243230.PRJNA65	43.499	73.446	86.403	0.152	13.346	13.346	13.346	13.346	0.41	-	-	-	13.346
246197.PRJNA1421	50.487	77.11	89.603	0.091	-	-	-	-	0.629	0.402	1.072	0.689	-
251221.PRJNA9606	0.124	7.901	8.07	-	-	-	-	-	-	-	-	-	-
253839.PRJNA33601	99.92	99.997	100	99.348	4.306	4.338	4.307	4.339	99.32	90.694	96.849	96.91	4.308
277.PRJNA260561	1.383	19.738	21.218	-	1.146	1.146	1.146	1.146	-	-	-	-	1.146
287986.PRJNA244719	9.891	44.145	50.896	-	-	-	-	0.001	0.007	0.045	0.039	0.03	-
290340.PRJNA12512	0.07	5.605	5.69	-	-	-	0.002	-	-	-	0.002	0.002	-
290397.PRJNA12634	3.374	29.547	32.476	-	-	-	-	-	-	0.014	0.027	0.003	-
290402.PRJNA12637	0.376	11.74	12.165	-	-	-	-	-	-	0.003	-	-	-
292459.PRJNA12994	0.03	3.729	3.762	-	-	-	-	-	-	-	-	-	-
307480.PRJNA255945	2.902	27.902	30.727	-	-	-	-	-	-	-	-	-	-
311403.PRJNA13402	15.181	51.389	60.186	0.008	-	-	-	-	0.023	0.015	0.08	0.069	-
315749.PRJNA13624	15.141	51.389	60.469	0.084	0.002	-	0.002	-	0.083	0.002	-	-	0.002
315750.PRJNA20391	0.028	4.07	4.099	-	0.007	0.006	0.007	0.006	-	-	-	-	0.002
316.PRJNA240232	0.054	4.906	4.976	-	-	0.004	-	0.004	-	-	-	-	-
316330.PRJNA201009	0.037	2.543	2.586	-	-	-	-	-	-	-	-	-	-
320771.PRJNA20839	0.27	10.84	11.218	-	-	-	-	-	-	-	-	-	-
321846.PRJNA245780	0.042	5.321	5.381	-	-	-	-	-	-	-	-	-	-
323097.PRJNA13473	0.26	10.687	11.025	-	-	-	-	-	-	-	-	-	-
323098.PRJNA13474	100	99.999	100	96.491	99.79	99.79	99.75	99.75	96.447	96.156	96.168	99.94	99.835
323848.PRJNA13912	0.567	14.566	15.211	-	-	-	-	-	-	-	-	-	-
324057.PRJNA20399	0.588	14.235	14.881	-	-	-	-	-	-	-	-	-	-
337191.PRJNA50495	0.219	9.914	10.226	-	0.001	-	0.001	-	-	-	-	-	-
345341.PRJNA38053	0.796	17.553	18.443	-	0.001	0.001	0.001	0.001	-	-	0.002	0.001	0.001
350054.PRJNA15760	32.356	65.915	78.09	0.073	-	-	-	-	0.285	0.012	0.025	0.02	-
357809.PRJNA16184	0.467	13.07	13.567	-	-	-	-	-	-	-	-	-	0.002
358823.PRJNA242835	0.523	13.606	13.144	-	-	-	-	-	-	0.001	0.001	0.002	-
365046.PRJNA16294	6.439	37.231	42.494	-	-	-	-	-	-	0.011	0.004	-	-
3823_A	0.083	5.63	5.742	-	-	-	-	-	-	-	-	-	-
3823_AA	99.953	99.963	99.974	99.454	94.879	95.204	93.523	93.706	99.345	98.878	97.608	98.333	91.546
3823_AB	12.744	47.533	55.325	-	-	-	-	-	-	-	-	0.002	-
3823_AC	24.742	60.023	71.174	-	-	-	-	-	0.052	0.002	0.002	0.002	-
3823_AD	99.999	99.978	99.999	99.9	94.316	94.414	93.958	93.968	99.864	56.963	83.15	98.899	95.316
3823_AE	0.379	11.524	11.949	-	-	-	-	-	-	-	-	-	-
3823_AG	0.026	3.544	3.574	-	0.002	0.002	0.002	0.002	-	-	-	0.002	-
3823_AH	99.968	99.794	99.97	96.071	79.848	76.507	79.304	75.35	96.8	87.423	89.086	73.67	77.569
3823_AI	9.889	43.263	50.008	-	0.003	-	0.001	0.001	-	0.012	0.012	0.002	0.004
3823_AJ	99.133	98.888	99.926	42.681	1.427	12.012	1.428	9.751	55.313	1.817	6.86	3.983	0.951
3823_AK	99.98	99.794	99.985	96.671	93.343	93.073	94.013	94.593	98.128	0.061	0.03	15.487	93.74
3823_AL	0.338	11.324	11.781	-	-	-	-	-	-	0.002	-	-	-
3823_AM	0.296	10.537	11.207	0.009	-	-	-	-	-	-	-	0.001	-
3823_AN	0.05	4.798	4.865	-	-	-	-	-	-	-	0.002	-	-
3823_AO	99.987	99.86	99.989	99.866	98.573	98.574	98.573	98.574	99.829	98.479	99.653	93.242	98.623
3823_AP	52.113	79.494	89.737	2.681	3.486	3.417	2.132	2.135	3.528	1.821	1.969	0.851	0.295
3823_AQ	0.054	3.525	3.594	-	0.005	-	0.003	-	-	0.002	0.001	0.006	0.008
3823_AS	0.079	5.483	5.578	-	0.034	0.034	0.025	0.027	-	-	0.005	0.012	0.022
3823_AT	0.023	2.577	2.624	-	0.003	0.055	0.004	0.005	-	0.045	0.005	0.001	0.007
3823_AW	2.838	9.926	8.945	28.511	6.886	0.943	4.377	1.254	25.616	0.001	0.004	0.062	3.528
3823_AX	0.064	5.599	5.696	-	0.003	0.003	0.001	0.003	-	-	-	0.006	0.001
3823_B	30.98	64.931	77.571	0.015	-	-	-	-	0.079	0.001	-	-	-
3823_C	0.675	15.324	16.126	-	-	-	-	-	-	-	0.001	0.001	-
3823_D	95.312	97.142	99.815	8.406	0.691	1.404	0.931	1.04	20.165	0.018	0.069	0.027	0.504
3823_E	99.996	99.941	99.997	99.807	96.694	96.723	96.356	96.601	99.764	0.004	0.006	23.533	97.301
3823_F	0.616	13.046	14.158	0.449	0.725	0.636	1.02	1.141	0.547	1.062	2.399	1.421	2.693
3823_G	99.992	99.84	99.992	99.926	96.785	96.79	96.741	96.745	99.901	99.768	99.479	98.173	97.762
3823_H	21.944	58.627	69.056	-	-	-	-	-	0.054	0.027	0.046	0.02	0.003
3823_I	99.999	99.981	99.999	99.921	99.695	99.695	99.653	99.653	99.887	99.947	99.905	98.059	99.638
3823_J	24.123	60.281	71.21	0.007	-	-	0.016	0.016	0.052	0.002	0.037	0.013	-
3823_K	99.995	99.953	99.996	99.903	88.941	89.211	90.152	89.741	99.75	78.183	95.919	85.149	92.847
3823_L	99.891	99.14	99.92	89.232	54.682	72.148	56.108	71.192	91.438	-	0.001	-	47.692
3823_M	2.695	26.819	29.409	-	-	-	-	-	-	0.009	-	0.001	-
3823_N	45	75.309	87.791	0.029	-	0.001	-	-	0.363	0.004	0.004	-	-
3823_O	0.024	3.628	3.67	-	0.003	-	0.003	-	0.001	-	-	0.003	0.003
3823_P	99.999	99.983	99.999	98.427	27.175	27.438	26.424	27.815	98.534	99.925	96.627	99.084	41.454
3823_Q	99.901	99.218	99.933	50.454	14.714	20.328	17.065	20.722	61.495	67.25	89.06	34.335	10.34
3823_R	52.839	77.96	88.086	2.392	1.733	1.737	2.083	2.247	2.461	0.824	1.076	0.297	0.211
3823_S	-	1.339	1.34	0.018	0.006	-	0.004	-	-	-	0.003	0.003	0.006
3823_T	0.057	7.001	7.119	0.002	0.002	0.001	0.003	-	-	-	-	0.008	-
3823_U	0.04	5.383	5.432	-	-	-	-	-	-	-	-	-	-
3823_V	1.646	22.744	24.348	-	-	0.001	-	0.001	-	0.007	-	-	-
3823_W	97.218	96.61	98.322	61.799	62.425	18.455	65.135	18.466	66.893	0.002	-	0.001	67.382
3823_Y	99.998	99.964	99.998	99.915	95.251	95.893	96.144	96.528	99.576	99.724	98.421	97.729	96.218
3823_Z	0.309	10.846	11.198	-	0.002	0.002	0.002	0.002	-	0.001	-	-	-
3934_AA	2.859	26.11	28.946	0.283	0.091	0.091	0.205	0.199	0.326	0.583	0.385	0.187	0.186
3934_AD	0.224	9.513	9.838	0.001	0.003	0.003	0.001	0.003	-	-	0.001	0.001	-
3934_AE	2.148	24.012	26.113	-	0.014	-	0.014	-	-	-	-	-	0.005
3934_AF	0.195	6.259	6.345	-	-	0.001	-	0.003	-	-	-	0.004	-
3934_AG	99.672	99.35	99.943	55.428	7.203	20.514	4.109	24.648	66.304	-	0.001	0.005	5.13
3934_AI	99.988	99.857	99.99	96.95	90.644	90.483	89.622	89.611	97.484	63.466	85.683	73.027	89.201
3934_AL	0.018	3.951	3.987	-	-	-	-	-	-	-	0.001	0.001	-
3934_AM	0.018	4.925	4.97	-	-	-	-	-	-	-	0.002	-	-
3934_AN	99.967	99.66	99.973	70.902	10.847	11.627	11.952	12.409	79.196	-	0.016	0.001	11.556
3934_AO	0.337	10.668	11.011	-	-	-	-	-	-	-	0.002	-	-
3934_AP	0.312	9.851	10.209	-	-	-	0.001	-	-	-	-	-	-
3934_AT	0.22	8.346	8.494	-	-	-	-	-	0.007	-	0.002	0.002	0.004
3934_AU	11.726	46.292	53.799	-	-	-	-	-	0.041	-	-	-	-
3934_AX	0.185	9.933	10.213	-	0.001	-	0.001	-	-	0.001	0.001	-	-
3934_AY	0.089	5.549	5.642	0.012	0.032	0.035	-	0.004	0.015	-	0.05	0.089	0.004
3934_AZ	5.741	36.793	41.547	-	-	-	0.002	-	-	0.008	0.002	0.062	-
3934_B	11.577	46.368	53.89	-	-	-	-	-	-	0.096	0.225	0.137	-
3934_BA	0.954	18.136	19.234	0.151	-	-	-	-	-	0.018	0.122	0.052	-
3934_BB	0.102	7.372	7.668	-	-	0.002	-	0.002	-	-	-	-	0.002
3934_BD	99.973	99.744	99.985	16.565	19.602	20.157	17.152	14.746	22.149	9.202	11.223	7.895	19.419
3934_BF	99.97	99.587	99.976	98.102	65.323	73.799	64.863	73.76	98.642	54.093	86.108	46.347	67.715
3934_BI	99.939	99.688	99.975	88.286	78.181	85.584	78.181	85.584	91.041	95.031	98.639	30.343	75.285
3934_BK	0.301	11.136	11.631	-	-	-	-	-	-	-	-	-	-
3934_BL	6.522	38.571	43.79	-	-	0.002	-	0.002	0.003	0.004	-	-	0.003
3934_BP	99.998	99.969	99.998	99.777	92.902	93.17	92.322	92.423	99.637	97.077	95.088	98.118	92.084
3934_BR	99.995	99.909	99.996	99.61	90.224	90.35	89.226	89.317	99.554	90.319	94.06	84.643	90.535
3934_BW	0.104	5.608	5.713	0.008	0.056	0.006	-	-	0.008	0.12	0.045	0.018	0.003
3934_BX	2.728	26.731	29.294	0.808	0.096	0.058	0.339	0.314	0.769	0.01	0.005	0.001	0.019
3934_C	99.995	99.913	99.995	96.05	86.264	86.251	88.45	91.027	97.985	76.945	88.678	93.968	88.752
3934_CB	0.171	6.967	7.18	-	-	0.001	-	-	-	-	0.001	0.001	0.003
3934_CG	0.31	11.416	11.814	-	-	-	-	-	-	-	-	-	-
3934_CH	1.496	20.971	22.696	0.169	1.286	3.103	1.329	2.633	0.267	3.21	3.47	4.091	0.54
3934_CK	99.972	99.95	99.999	99.217	93.756	34.819	94.116	39.597	98.933	57.621	80.431	98.274	96.043
3934_CM	9.129	41.562	47.852	-	0.008	0.009	0.002	-	0.057	0.004	0.011	0.01	0.003
3934_CP	0.176	9.321	9.575	0.008	0.006	0.037	0.008	0.043	-	-	0.01	0.01	0.082
3934_CQ	0.018	5.329	5.394	-	-	-	-	-	-	-	-	-	-
3934_D	99.549	99.457	99.967	46.046	33.037	52.723	34.788	52.979	59.678	10.495	32.773	16.459	35.106
3934_E	99.928	99.851	99.986	35.585	40.699	40.646	44.745	44.185	40.264	3.77	11.833	13.197	34.166
3934_F	99.961	99.663	99.978	28.396	16.741	16.827	11.659	14.326	31.462	1.621	5.919	2.903	20.891
3934_I	0.602	14.3	15.006	-	-	-	-	-	-	-	-	0.003	0.001
3934_K	99.961	99.543	99.965	99.457	90.7	91.264	90.7	91.264	99.543	51.978	84.847	67.988	90.393
3934_M	0.012	2.247	2.259	-	-	-	-	-	-	-	-	-	-
3934_Q	99.942	99.749	99.971	37.276	44.612	44.334	44.821	43.939	39.572	2.542	7.663	7.578	41.554
3934_S	44.408	73.52	86.435	0.034	-	-	-	-	0.209	0.08	0.2	0.142	-
3934_Y	0.56	15.828	16.656	-	-	0.003	-	-	0.012	-	0.004	-	-
3934_Z	1.014	14.613	15.193	0.012	-	-	-	-	0.042	-	0.025	-	-
3937_A	0.089	7.253	7.423	-	-	0.01	-	0.01	0.015	0.002	-	-	0.002
3937_I	0.176	9.069	9.354	-	-	-	-	-	-	-	-	-	-
3937_Q	0.308	10.315	10.352	-	-	-	-	-	-	-	-	-	-
3937_Y	0.357	11.735	12.322	-	-	-	-	-	-	-	0.002	-	-
394503.PRJNA17419	0.22	8.269	8.538	-	-	-	-	-	-	-	0.013	-	-
395965.PRJNA20635	95.7	97.647	99.905	11.417	1.664	1.82	2.562	2.738	23.284	4.01	11.482	6.291	1.676
398511.PRJNA28811	0.055	5.583	5.653	-	-	-	-	-	-	-	-	-	-
398527.PRJNA17463	0.733	15.874	16.724	-	-	-	-	-	-	-	0.001	0.001	-
401053.PRJNA48971	5.465	35.58	40.076	-	-	-	-	-	-	-	-	-	-
404380.PRJNA17707	0.784	16.667	17.592	-	-	-	-	-	-	-	-	-	-
404589.PRJNA17729	0.115	8.541	8.7	-	-	-	-	-	-	-	-	-	-
405948.PRJEA18489	0.088	6.759	6.884	-	-	-	-	-	-	0.001	0.002	0.002	-
421072.PRJNA255518	3.413	29.888	32.656	-	-	-	-	-	0.025	-	-	-	-
421531.PRJNA256038	0.182	9.743	10.038	-	-	-	-	-	-	-	-	-	-
43759.PRJNA238534	0.273	10.467	2.959	-	-	-	-	-	-	-	-	-	-
443143.PRJNA33159	21.212	57.714	68.12	0.113	-	-	-	-	0.196	-	-	0.001	-
443255.PRJNA42475	0.577	14.388	15.061	-	-	0.001	-	-	-	-	0.001	-	-
444461.PRJNA174173	0.148	6.554	6.887	-	0.544	0.544	0.544	0.544	-	-	-	-	0.544
445961.PRJNA255943	0.151	8.132	8.397	-	-	-	-	-	-	-	-	-	-
446462.PRJNA19705	99.014	99.384	99.994	37.187	0.126	1.139	0.122	0.893	50.617	15.705	41.751	26.783	0.284
446465.PRJNA17026	2.01	22.921	24.858	-	-	-	-	-	-	-	0.002	-	-
446466.PRJNA19707	0.051	5.728	5.822	-	-	-	-	-	-	-	-	-	-
448385.PRJNA28111	100	99.998	100	99.274	99.529	99.51	99.529	99.509	99.18	98.946	98.819	81.727	99.432
452662.PRJDA19949	0.164	7.236	7.436	-	0.002	-	-	-	-	-	-	0.002	-
452863.PRJNA20011	0.193	11.108	11.357	-	0.004	-	0.004	-	-	-	-	0.004	0.004
455632.PRJDA20085	20.321	56.122	66.218	-	-	-	-	-	0.066	0.077	0.178	0.151	0.001
456442.PRJNA18505	0.19	9.846	10.105	-	-	-	-	-	-	-	-	-	-
457425.PRJNA180996	0.067	6.481	6.571	-	-	-	-	-	-	-	0.002	-	-
457427.PRJNA33605	5.494	36.161	40.571	-	-	-	-	-	0.01	0.005	0.001	-	-
469371.PRJNA20737	0.062	3.582	3.652	-	-	-	-	-	-	-	-	-	-
469383.PRJNA20745	0.109	7.451	7.571	-	0.001	0.001	0.001	0.001	-	0.003	0.003	-	0.001
471853.PRJNA20827	0.872	17.345	18.262	-	-	-	-	-	-	-	-	-	-
479431.PRJNA29537	0.212	9.551	9.82	-	-	-	-	-	-	-	-	-	-
479432.PRJNA21083	-	0.177	0.177	-	-	-	-	-	-	-	0.002	-	-
479433.PRJNA21085	5.869	36.527	41.11	-	-	-	-	-	-	0.005	0.01	0.004	-
479435.PRJNA21089	0.412	12.821	13.338	-	-	-	-	-	-	0.002	0.001	0.001	-
485913.PRJNA27943	0.096	5.48	5.585	-	-	-	-	-	-	-	-	-	-
485917.PRJNA27949	1.027	19.764	20.91	-	-	-	-	-	-	-	-	-	-
485918.PRJNA27951	5.99	36.6	41.143	0.009	-	-	-	-	0.009	-	0.003	0.002	-
